dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-29,1,1,0,0,1,1
2020-03-31,2,3,0,0,0,1
2020-04-01,1,4,0,0,0,1
2020-04-02,1,5,0,0,0,1
2020-04-07,2,7,0,0,0,1
2020-04-08,1,8,0,0,0,1
2020-04-09,3,11,0,0,0,1
2020-04-10,2,13,0,0,0,1
2020-04-13,4,17,0,0,0,1
2020-04-15,4,21,0,0,0,1
2020-04-22,3,24,0,0,0,1
2020-04-24,1,25,0,0,0,1
2020-04-27,0,25,1,1,0,1
2020-04-28,0,25,2,3,0,1
2020-05-01,0,25,2,5,0,1
2020-05-04,3,28,1,6,0,1
2020-05-06,0,28,4,10,0,1
2020-05-08,0,28,-3,7,0,1
2020-05-10,0,28,5,12,0,1
2020-05-11,1,29,-3,9,0,1
2020-05-14,1,30,0,9,0,1
2020-05-15,0,30,4,13,0,1
2020-05-16,0,30,-3,10,0,1
2020-05-17,4,34,0,10,0,1
2020-05-19,3,37,0,10,2,3
2020-05-20,1,38,0,10,0,3
2020-05-21,4,42,0,10,0,3
2020-05-22,1,43,0,10,0,3
2020-05-23,0,43,1,11,0,3
2020-05-24,1,44,1,12,0,3
2020-05-25,1,45,0,12,0,3
2020-05-26,8,53,1,13,0,3
2020-05-27,4,57,1,14,0,3
2020-05-28,2,59,0,14,0,3
2020-05-29,1,60,1,15,0,3
2020-05-30,2,62,0,15,0,3
2020-05-31,4,66,4,19,0,3
2020-06-01,1,67,0,19,0,3
2020-06-02,10,77,9,28,0,3
2020-06-03,1,78,3,31,0,3
2020-06-04,6,84,1,32,0,3
2020-06-05,2,86,2,34,0,3
2020-06-06,4,90,0,34,0,3
2020-06-07,1,91,0,34,0,3
2020-06-08,8,99,6,40,0,3
2020-06-09,2,101,0,40,0,3
2020-06-10,1,102,2,42,0,3
2020-06-11,5,107,13,55,0,3
2020-06-12,14,121,4,59,0,3
2020-06-14,8,129,0,59,0,3
2020-06-15,0,129,4,63,0,3
2020-06-16,13,142,0,63,2,5
2020-06-17,2,144,6,69,0,5
2020-06-18,9,153,8,77,0,5
2020-06-19,5,158,1,78,0,5
2020-06-20,2,160,12,90,0,5
2020-06-21,4,164,0,90,1,6
2020-06-22,10,174,12,102,0,6
2020-06-23,6,180,1,103,3,9
2020-06-24,3,183,3,106,2,11
2020-06-25,2,185,11,117,1,12
2020-06-26,5,190,3,120,0,12
2020-06-27,18,208,2,122,0,12
2020-06-28,9,217,4,126,0,12
2020-06-29,15,232,5,131,0,12
2020-06-30,17,249,0,131,0,12
2020-07-01,6,255,7,138,0,12
2020-07-02,12,267,0,138,1,13
2020-07-03,14,281,8,146,0,13
2020-07-04,21,302,7,153,0,13
2020-07-05,20,322,2,155,0,13
2020-07-06,0,322,13,168,0,13
2020-07-07,25,347,4,172,0,13
2020-07-08,24,371,4,176,0,13
2020-07-09,1,372,0,176,0,13
2020-07-10,11,383,7,183,3,16
