dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-16,2,2,0,0,0,0
2020-05-01,1,3,0,0,0,0
2020-05-03,1,4,0,0,0,0
2020-05-14,1,5,0,0,0,0
2020-05-20,0,5,2,2,0,0
2020-05-21,10,15,0,2,0,0
2020-05-23,1,16,0,2,0,0
2020-05-24,3,19,0,2,0,0
2020-05-25,5,24,0,2,0,0
2020-05-26,1,25,0,2,0,0
2020-05-27,0,25,1,3,0,0
2020-05-29,0,25,4,7,0,0
2020-05-30,0,25,6,13,0,0
2020-06-01,1,26,2,15,0,0
2020-06-02,0,26,7,22,0,0
2020-06-03,1,27,1,23,0,0
2020-06-04,1,28,0,23,0,0
2020-06-05,2,30,0,23,0,0
2020-06-06,1,31,0,23,0,0
2020-06-07,1,32,0,23,0,0
2020-06-08,10,42,0,23,0,0
2020-06-09,0,42,1,24,0,0
2020-06-10,3,45,0,24,0,0
2020-06-11,1,46,0,24,0,0
2020-06-14,1,47,1,25,0,0
2020-06-15,3,50,1,26,0,0
2020-06-16,1,51,0,26,0,0
2020-06-17,5,56,1,27,0,0
2020-06-18,1,57,1,28,0,0
2020-06-19,1,58,10,38,0,0
2020-06-21,0,58,4,42,0,0
2020-06-22,1,59,0,42,0,0
2020-06-23,1,60,0,42,0,0
2020-06-24,4,64,1,43,0,0
2020-06-25,1,65,3,46,0,0
2020-06-26,7,72,0,46,0,0
2020-06-27,1,73,4,50,0,0
2020-06-28,7,80,2,52,0,0
2020-06-29,6,86,0,52,0,0
2020-06-30,8,94,1,53,0,0
2020-07-01,1,95,1,54,0,0
2020-07-02,2,97,1,55,0,0
2020-07-03,0,97,4,59,0,0
2020-07-04,12,109,0,59,0,0
2020-07-05,1,110,2,61,0,0
2020-07-06,10,120,6,67,0,0
2020-07-07,2,122,3,70,0,0
2020-07-08,2,124,1,71,0,0
2020-07-09,5,129,7,78,0,0
2020-07-10,16,145,13,91,0,0
