dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-11,0,0,0,0,1,1
2020-04-13,1,1,0,0,0,1
2020-04-21,1,2,0,0,0,1
2020-04-22,5,7,0,0,0,1
2020-04-23,1,8,0,0,0,1
2020-04-24,1,9,0,0,0,1
2020-04-25,1,10,0,0,1,2
2020-05-01,1,11,0,0,0,2
2020-05-02,1,12,0,0,0,2
2020-05-03,1,13,0,0,0,2
2020-05-04,4,17,0,0,0,2
2020-05-06,0,17,5,5,0,2
2020-05-07,0,17,7,12,0,2
2020-05-08,0,17,2,14,0,2
2020-05-09,18,35,0,14,0,2
2020-05-10,4,39,1,15,3,5
2020-05-11,0,39,1,16,0,5
2020-05-12,9,48,0,16,0,5
2020-05-13,8,56,3,19,0,5
2020-05-15,3,59,5,24,2,7
2020-05-16,3,62,0,24,0,7
2020-05-17,3,65,0,24,0,7
2020-05-18,3,68,14,38,0,7
2020-05-19,1,69,0,38,1,8
2020-05-20,0,69,9,47,0,8
2020-05-21,11,80,5,52,0,8
2020-05-22,2,82,1,53,0,8
2020-05-23,0,82,9,62,0,8
2020-05-24,21,103,0,62,0,8
2020-05-26,11,114,0,62,0,8
2020-05-27,0,114,1,63,0,8
2020-05-28,0,114,4,67,0,8
2020-05-29,6,120,3,70,7,15
2020-05-30,5,125,1,71,0,15
2020-05-31,0,125,15,86,0,15
2020-06-01,5,130,2,88,0,15
2020-06-02,28,158,5,93,0,15
2020-06-03,4,162,1,94,4,19
2020-06-04,10,172,5,99,1,20
2020-06-05,8,180,3,102,0,20
2020-06-06,36,216,6,108,0,20
2020-06-07,7,223,10,118,0,20
2020-06-08,23,246,0,118,4,24
2020-06-09,29,275,11,129,0,24
2020-06-10,44,319,6,135,0,24
2020-06-11,7,326,26,161,0,24
2020-06-12,12,338,7,168,1,25
2020-06-13,0,338,31,199,0,25
2020-06-14,40,378,24,223,0,25
2020-06-15,40,418,0,223,13,38
2020-06-16,15,433,31,254,12,50
2020-06-17,16,449,23,277,0,50
2020-06-18,2,451,1,278,0,50
2020-06-19,13,464,40,318,3,53
2020-06-20,4,468,3,321,-8,45
2020-06-21,17,485,8,329,0,45
2020-06-22,61,546,10,339,0,45
2020-06-23,26,572,11,350,1,46
2020-06-24,1,573,3,353,0,46
2020-06-25,27,600,19,372,0,46
2020-06-26,48,648,19,391,0,46
2020-06-27,272,920,8,399,7,53
2020-06-28,27,947,50,449,0,53
2020-06-29,70,1017,47,496,0,53
2020-06-30,62,1079,48,544,0,53
2020-07-01,2,1081,50,594,2,55
2020-07-02,76,1157,63,657,0,55
2020-07-03,10,1167,23,680,2,57
2020-07-04,51,1218,12,692,0,57
2020-07-05,15,1233,12,704,4,61
2020-07-06,26,1259,20,724,5,66
2020-07-07,9,1268,28,752,2,68
2020-07-08,84,1352,14,766,0,68
2020-07-09,21,1373,58,824,0,68
2020-07-10,35,1408,10,834,4,72
