dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,1,1,0,0,0,0
2020-04-22,6,7,0,0,0,0
2020-04-25,1,8,0,0,0,0
2020-04-28,7,15,0,0,0,0
2020-05-01,7,22,0,0,0,0
2020-05-02,15,37,0,0,0,0
2020-05-03,5,42,0,0,0,0
2020-05-04,10,52,0,0,0,0
2020-05-05,3,55,0,0,0,0
2020-05-06,3,58,0,0,0,0
2020-05-10,1,59,2,2,0,0
2020-05-11,1,60,17,19,0,0
2020-05-12,1,61,1,20,0,0
2020-05-13,0,61,24,44,0,0
2020-05-14,0,61,1,45,0,0
2020-05-15,5,66,2,47,0,0
2020-05-16,0,66,33,80,0,0
2020-05-17,30,96,0,80,0,0
2020-05-18,8,104,5,85,0,0
2020-05-19,3,107,0,85,0,0
2020-05-21,3,110,1,86,0,0
2020-05-22,2,112,0,86,0,0
2020-05-23,0,112,4,90,0,0
2020-05-25,20,132,1,91,0,0
2020-05-26,1,133,0,91,0,0
2020-05-28,10,143,0,91,0,0
2020-05-29,0,143,5,96,0,0
2020-05-30,6,149,0,96,0,0
2020-05-31,0,149,1,97,0,0
2020-06-01,41,190,8,105,0,0
2020-06-02,1,191,0,105,0,0
2020-06-03,2,193,0,105,0,0
2020-06-04,1,194,40,145,0,0
2020-06-05,11,205,0,145,0,0
2020-06-06,1,206,17,162,0,0
2020-06-07,7,213,0,162,0,0
2020-06-08,1,214,1,163,0,0
2020-06-09,0,214,4,167,0,0
2020-06-10,0,214,11,178,0,0
2020-06-11,10,224,4,182,1,1
2020-06-12,12,236,1,183,0,1
2020-06-14,3,239,3,186,0,1
2020-06-15,3,242,0,186,0,1
2020-06-16,0,242,8,194,0,1
2020-06-17,1,243,0,194,0,1
2020-06-19,0,243,8,202,0,1
2020-06-20,9,252,0,202,0,1
2020-06-21,0,252,11,213,0,1
2020-06-22,2,254,1,214,0,1
2020-06-23,8,262,11,225,0,1
2020-06-24,0,262,5,230,0,1
2020-06-25,3,265,1,231,0,1
2020-06-26,1,266,0,231,0,1
2020-06-27,-4,262,0,231,0,1
2020-06-28,0,262,6,237,0,1
2020-06-29,4,266,0,237,0,1
2020-06-30,4,270,3,240,0,1
2020-07-02,0,270,2,242,0,1
2020-07-03,0,270,7,249,0,1
2020-07-04,18,288,0,249,0,1
2020-07-05,6,294,0,249,0,1
2020-07-06,3,297,4,253,0,1
2020-07-07,0,297,6,259,0,1
2020-07-08,4,301,0,259,0,1
2020-07-09,22,323,8,267,0,1
2020-07-10,2,325,7,274,1,2
