dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-27,1,1,0,0,0,0
2020-03-30,1,2,0,0,0,0
2020-04-09,2,4,0,0,0,0
2020-04-11,1,5,0,0,0,0
2020-04-19,1,6,0,0,0,0
2020-04-20,1,7,0,0,0,0
2020-04-21,1,8,0,0,0,0
2020-04-24,1,9,0,0,0,0
2020-04-27,1,10,0,0,0,0
2020-04-28,1,11,0,0,0,0
2020-04-30,2,13,0,0,0,0
2020-05-01,1,14,1,1,0,0
2020-05-02,1,15,0,1,0,0
2020-05-04,-2,13,0,1,0,0
2020-05-05,1,14,0,1,1,1
2020-05-06,1,15,0,1,0,1
2020-05-07,0,15,3,4,0,1
2020-05-09,3,18,0,4,0,1
2020-05-13,3,21,0,4,0,1
2020-05-14,3,24,0,4,0,1
2020-05-16,2,26,0,4,0,1
2020-05-17,9,35,3,7,0,1
2020-05-18,16,51,0,7,0,1
2020-05-19,29,80,0,7,0,1
2020-05-20,58,138,0,7,0,1
2020-05-21,22,160,0,7,0,1
2020-05-22,34,194,1,8,0,1
2020-05-23,34,228,0,8,0,1
2020-05-24,30,258,0,8,0,1
2020-05-25,8,266,3,11,0,1
2020-05-26,73,339,3,14,0,1
2020-05-27,6,345,0,14,0,1
2020-05-28,5,350,18,32,0,1
2020-05-29,28,378,51,83,3,4
2020-05-30,50,428,17,100,0,4
2020-05-31,28,456,46,146,0,4
2020-06-01,52,508,0,146,0,4
2020-06-02,34,542,55,201,0,4
2020-06-03,64,606,8,209,2,6
2020-06-04,5,611,47,256,0,6
2020-06-05,18,629,43,299,0,6
2020-06-06,8,637,31,330,0,6
2020-06-07,9,646,1,331,2,8
2020-06-08,1,647,59,390,0,8
2020-06-09,22,669,36,426,0,8
2020-06-10,1,670,40,466,0,8
2020-06-11,4,674,34,500,0,8
2020-06-12,6,680,0,500,0,8
2020-06-13,11,691,17,517,0,8
2020-06-14,2,693,11,528,0,8
2020-06-15,35,728,0,528,0,8
2020-06-16,4,732,0,528,0,8
2020-06-17,1,733,83,611,0,8
2020-06-18,2,735,31,642,0,8
2020-06-19,1,736,15,657,0,8
2020-06-20,2,738,5,662,0,8
2020-06-21,2,740,4,666,0,8
2020-06-22,6,746,7,673,0,8
2020-06-23,3,749,14,687,0,8
2020-06-24,8,757,9,696,0,8
2020-06-25,16,773,0,696,0,8
2020-06-26,13,786,7,703,1,9
2020-06-27,22,808,3,706,1,10
2020-06-28,15,823,0,706,0,10
2020-06-29,17,840,1,707,0,10
2020-06-30,5,845,0,707,1,11
2020-07-01,12,857,6,713,0,11
2020-07-02,16,873,5,718,1,12
2020-07-03,12,885,2,720,0,12
2020-07-04,9,894,8,728,0,12
2020-07-05,25,919,0,728,0,12
2020-07-06,29,948,1,729,1,13
2020-07-07,20,968,2,731,0,13
2020-07-08,55,1023,23,754,3,16
2020-07-09,19,1042,1,755,0,16
2020-07-10,19,1061,6,761,1,17
