dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,8,8,0,0,0,0
2020-04-24,1,9,0,0,0,0
2020-04-27,1,10,0,0,0,0
2020-04-28,2,12,0,0,0,0
2020-05-04,7,19,0,0,0,0
2020-05-07,6,25,0,0,0,0
2020-05-10,1,26,0,0,0,0
2020-05-11,5,31,0,0,0,0
2020-05-12,0,31,3,3,0,0
2020-05-13,1,32,0,3,0,0
2020-05-14,0,32,4,7,0,0
2020-05-16,2,34,6,13,0,0
2020-05-17,10,44,0,13,1,1
2020-05-18,6,50,1,14,0,1
2020-05-20,0,50,6,20,0,1
2020-05-21,4,54,0,20,0,1
2020-05-22,7,61,0,20,0,1
2020-05-23,6,67,0,20,0,1
2020-05-24,4,71,0,20,1,2
2020-05-25,11,82,10,30,0,2
2020-05-26,0,82,4,34,0,2
2020-05-27,12,94,0,34,0,2
2020-05-28,13,107,8,42,0,2
2020-05-29,1,108,2,44,0,2
2020-05-30,10,118,3,47,0,2
2020-05-31,7,125,5,52,0,2
2020-06-02,0,125,9,61,0,2
2020-06-04,6,131,3,64,1,3
2020-06-05,1,132,11,75,0,3
2020-06-06,3,135,11,86,0,3
2020-06-07,2,137,8,94,0,3
2020-06-08,1,138,0,94,0,3
2020-06-09,1,139,10,104,0,3
2020-06-10,8,147,6,110,0,3
2020-06-11,5,152,0,110,2,5
2020-06-12,8,160,0,110,0,5
2020-06-13,3,163,0,110,2,7
2020-06-14,13,176,2,112,0,7
2020-06-15,5,181,1,113,0,7
2020-06-16,7,188,0,113,3,10
2020-06-17,10,198,5,118,2,12
2020-06-18,3,201,1,119,0,12
2020-06-19,8,209,3,122,0,12
2020-06-20,3,212,6,128,-2,10
2020-06-21,5,217,3,131,1,11
2020-06-22,9,226,3,134,1,12
2020-06-23,1,227,7,141,0,12
2020-06-24,10,237,0,141,0,12
2020-06-25,4,241,16,157,0,12
2020-06-26,15,256,11,168,2,14
2020-06-27,19,275,7,175,2,16
2020-06-28,28,303,8,183,0,16
2020-06-29,17,320,0,183,0,16
2020-06-30,11,331,0,183,1,17
2020-07-01,19,350,4,187,1,18
2020-07-02,33,383,4,191,0,18
2020-07-03,13,396,5,196,1,19
2020-07-04,8,404,19,215,2,21
2020-07-05,21,425,6,221,0,21
2020-07-06,21,446,3,224,2,23
2020-07-07,47,493,20,244,3,26
2020-07-08,39,532,13,257,0,26
2020-07-09,20,552,12,269,1,27
2020-07-10,54,606,7,276,1,28
