dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-11,1,1,0,0,0,0
2020-03-13,2,3,0,0,0,0
2020-03-14,1,4,0,0,0,0
2020-03-26,1,5,0,0,0,0
2020-03-27,4,9,0,0,0,0
2020-03-28,2,11,0,0,0,0
2020-03-29,3,14,0,0,0,0
2020-03-30,2,16,4,4,0,0
2020-04-04,1,17,0,4,0,0
2020-04-07,2,19,0,4,1,1
2020-04-10,6,25,0,4,0,1
2020-04-12,4,29,0,4,0,1
2020-04-13,12,41,0,4,0,1
2020-04-14,6,47,0,4,0,1
2020-04-15,12,59,0,4,0,1
2020-04-16,2,61,0,4,0,1
2020-04-17,1,62,0,4,0,1
2020-04-18,4,66,0,4,0,1
2020-04-19,1,67,0,4,0,1
2020-04-20,1,68,0,4,0,1
2020-04-21,1,69,0,4,0,1
2020-04-22,22,91,0,4,0,1
2020-04-24,1,92,0,4,0,1
2020-04-25,1,93,0,4,0,1
2020-04-27,20,113,0,4,0,1
2020-04-28,8,121,0,4,0,1
2020-04-29,3,124,15,19,0,1
2020-04-30,1,125,2,21,1,2
2020-05-02,7,132,0,21,0,2
2020-05-03,6,138,3,24,0,2
2020-05-04,22,160,10,34,0,2
2020-05-05,7,167,6,40,0,2
2020-05-06,1,168,7,47,0,2
2020-05-07,24,192,0,47,0,2
2020-05-08,6,198,0,47,0,2
2020-05-09,12,210,0,47,0,2
2020-05-10,27,237,3,50,0,2
2020-05-11,8,245,5,55,0,2
2020-05-12,9,254,4,59,0,2
2020-05-13,49,303,11,70,0,2
2020-05-14,14,317,7,77,0,2
2020-05-15,3,320,35,112,0,2
2020-05-16,18,338,31,143,0,2
2020-05-17,5,343,3,146,0,2
2020-05-18,18,361,26,172,2,4
2020-05-19,13,374,40,212,2,6
2020-05-20,35,409,41,253,0,6
2020-05-21,14,423,5,258,0,6
2020-05-22,23,446,9,267,1,7
2020-05-23,5,451,10,277,0,7
2020-05-24,6,457,13,290,0,7
2020-05-25,4,461,23,313,0,7
2020-05-26,6,467,4,317,1,8
2020-05-27,3,470,1,318,1,9
2020-05-28,11,481,2,320,0,9
2020-05-29,16,497,6,326,0,9
2020-05-30,45,542,11,337,1,10
2020-05-31,18,560,5,342,0,10
2020-06-01,18,578,20,362,1,11
2020-06-02,22,600,3,365,0,11
2020-06-03,21,621,11,376,0,11
2020-06-04,27,648,18,394,0,11
2020-06-05,19,667,1,395,0,11
2020-06-06,57,724,5,400,0,11
2020-06-07,9,733,18,418,0,11
2020-06-08,14,747,32,450,0,11
2020-06-09,27,774,12,462,1,12
2020-06-10,43,817,17,479,0,12
2020-06-11,88,905,28,507,0,12
2020-06-12,50,955,13,520,0,12
2020-06-13,13,968,3,523,0,12
2020-06-14,31,999,59,582,0,12
2020-06-15,33,1032,26,608,0,12
2020-06-16,64,1096,7,615,0,12
2020-06-17,19,1115,16,631,0,12
2020-06-18,25,1140,4,635,1,13
2020-06-19,37,1177,130,765,0,13
2020-06-20,80,1257,28,793,0,13
2020-06-21,54,1311,24,817,0,13
2020-06-22,12,1323,9,826,0,13
2020-06-23,15,1338,55,881,0,13
2020-06-24,14,1352,45,926,0,13
2020-06-25,52,1404,23,949,0,13
2020-06-26,6,1410,40,989,1,14
2020-06-27,-24,1386,16,1005,0,14
2020-06-28,21,1407,16,1021,0,14
2020-06-29,27,1434,64,1085,1,15
2020-06-30,20,1454,43,1128,0,15
2020-07-01,38,1492,54,1182,0,15
2020-07-02,76,1568,30,1212,0,15
2020-07-03,42,1610,13,1225,0,15
2020-07-04,48,1658,51,1276,0,15
2020-07-05,47,1705,4,1280,0,15
2020-07-06,34,1739,14,1294,1,16
2020-07-07,39,1778,14,1308,0,16
2020-07-08,32,1810,9,1317,1,17
2020-07-09,31,1841,12,1329,2,19
2020-07-10,55,1896,19,1348,0,19
