dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-22,1,1,0,0,0,0
2020-04-27,2,3,0,0,0,0
2020-05-01,1,4,0,0,1,1
2020-05-03,27,31,0,0,0,1
2020-05-04,0,31,0,0,1,2
2020-05-07,1,32,0,0,0,2
2020-05-09,1,33,0,0,1,3
2020-05-10,10,43,0,0,0,3
2020-05-11,2,45,0,0,1,4
2020-05-12,1,46,0,0,0,4
2020-05-13,11,57,0,0,0,4
2020-05-14,0,57,1,1,0,4
2020-05-15,0,57,16,17,0,4
2020-05-16,2,59,7,24,0,4
2020-05-17,10,69,0,24,0,4
2020-05-18,9,78,5,29,0,4
2020-05-19,1,79,0,29,0,4
2020-05-20,1,80,5,34,0,4
2020-05-21,12,92,3,37,0,4
2020-05-22,6,98,6,43,0,4
2020-05-23,0,98,0,43,1,5
2020-05-26,7,105,18,61,0,5
2020-05-27,0,105,8,69,0,5
2020-05-28,3,108,0,69,1,6
2020-05-29,0,108,13,82,0,6
2020-05-30,0,108,4,86,0,6
2020-05-31,3,111,0,86,0,6
2020-06-01,12,123,5,91,0,6
2020-06-02,6,129,0,91,0,6
2020-06-03,6,135,8,99,0,6
2020-06-04,22,157,3,102,1,7
2020-06-05,5,162,0,102,0,7
2020-06-06,6,168,2,104,0,7
2020-06-07,1,169,4,108,0,7
2020-06-08,1,170,2,110,1,8
2020-06-09,1,171,3,113,0,8
2020-06-10,3,174,0,113,0,8
2020-06-11,12,186,3,116,1,9
2020-06-12,18,204,1,117,0,9
2020-06-13,0,204,20,137,1,10
2020-06-14,31,235,14,151,0,10
2020-06-15,6,241,10,161,0,10
2020-06-16,0,241,0,161,2,12
2020-06-17,23,264,3,164,0,12
2020-06-18,2,266,0,164,0,12
2020-06-19,5,271,2,166,0,12
2020-06-20,8,279,9,175,-1,11
2020-06-21,3,282,0,175,0,11
2020-06-22,4,286,0,175,0,11
2020-06-23,9,295,3,178,0,11
2020-06-24,6,301,0,178,0,11
2020-06-25,3,304,47,225,0,11
2020-06-26,5,309,6,231,2,13
2020-06-27,9,318,0,231,0,13
2020-06-28,19,337,0,231,0,13
2020-06-29,5,342,0,231,0,13
2020-06-30,2,344,0,231,0,13
2020-07-01,20,364,3,234,1,14
2020-07-03,7,371,7,241,0,14
2020-07-04,17,388,0,241,0,14
2020-07-05,6,394,1,242,0,14
2020-07-06,15,409,0,242,1,15
2020-07-07,18,427,0,242,1,16
2020-07-08,28,455,0,242,2,18
2020-07-09,47,502,4,246,1,19
2020-07-10,27,529,2,248,0,19
