dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-30,1,1,0,0,0,0
2020-05-01,1,2,0,0,1,1
2020-05-02,0,2,0,0,1,2
2020-05-03,1,3,0,0,0,2
2020-05-04,1,4,0,0,1,3
2020-05-05,1,5,0,0,0,3
2020-05-06,2,7,0,0,1,4
2020-05-07,2,9,0,0,2,6
2020-05-09,1,10,0,0,0,6
2020-05-10,1,11,0,0,1,7
2020-05-11,5,16,0,0,1,8
2020-05-18,2,18,0,0,1,9
2020-05-19,3,21,0,0,0,9
2020-05-20,2,23,0,0,0,9
2020-05-24,1,24,0,0,0,9
2020-05-25,2,26,0,0,1,10
2020-05-26,1,27,0,0,0,10
2020-05-27,1,28,0,0,1,11
2020-05-28,1,29,0,0,0,11
2020-05-29,2,31,0,0,0,11
2020-05-30,3,34,0,0,2,13
2020-06-01,1,35,0,0,0,13
2020-06-02,2,37,0,0,0,13
2020-06-03,1,38,0,0,3,16
2020-06-04,1,39,0,0,0,16
2020-06-05,1,40,0,0,0,16
2020-06-07,7,47,0,0,1,17
2020-06-08,3,50,0,0,0,17
2020-06-09,3,53,0,0,1,18
2020-06-10,2,55,0,0,0,18
2020-06-14,1,56,0,0,0,18
2020-06-15,8,64,0,0,0,18
2020-06-16,4,68,0,0,0,18
2020-06-17,5,73,0,0,0,18
2020-06-18,4,77,0,0,0,18
2020-06-19,7,84,0,0,0,18
2020-06-20,3,87,0,0,0,18
2020-06-21,2,89,0,0,0,18
2020-06-22,2,91,0,0,0,18
2020-06-23,1,92,0,0,0,18
2020-06-24,1,93,0,0,1,19
2020-06-25,3,96,0,0,2,21
2020-06-26,2,98,0,0,0,21
2020-06-27,-51,47,0,0,0,21
2020-06-28,2,49,0,0,0,21
2020-06-29,11,60,0,0,0,21
2020-06-30,4,64,0,0,0,21
2020-07-01,5,69,0,0,0,21
2020-07-02,3,72,0,0,0,21
2020-07-03,9,81,0,0,2,23
2020-07-04,5,86,0,0,0,23
2020-07-05,22,108,0,0,0,23
2020-07-06,6,114,0,0,0,23
2020-07-07,6,120,0,0,1,24
2020-07-08,8,128,0,0,0,24
2020-07-09,13,141,0,0,1,25
2020-07-10,9,150,0,0,1,26
