dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-18,1,1,0,0,0,0
2020-04-03,1,2,0,0,0,0
2020-04-07,1,3,0,0,0,0
2020-04-09,1,4,0,0,0,0
2020-04-10,1,5,0,0,0,0
2020-04-14,1,6,0,0,0,0
2020-04-20,1,7,0,0,0,0
2020-04-21,1,8,0,0,0,0
2020-05-02,2,10,0,0,0,0
2020-05-03,1,11,0,0,0,0
2020-05-04,-1,10,0,0,0,0
2020-05-06,6,16,0,0,0,0
2020-05-08,1,17,0,0,0,0
2020-05-09,1,18,0,0,0,0
2020-05-10,18,36,0,0,0,0
2020-05-11,6,42,0,0,1,1
2020-05-12,13,55,0,0,0,1
2020-05-13,5,60,0,0,1,2
2020-05-14,23,83,0,0,0,2
2020-05-15,3,86,3,3,0,2
2020-05-16,5,91,5,8,0,2
2020-05-17,4,95,1,9,0,2
2020-05-18,6,101,1,10,0,2
2020-05-19,1,102,0,10,0,2
2020-05-20,14,116,17,27,0,2
2020-05-21,7,123,0,27,0,2
2020-05-22,12,135,0,27,0,2
2020-05-23,7,142,0,27,0,2
2020-05-24,13,155,8,35,0,2
2020-05-25,12,167,9,44,1,3
2020-05-26,4,171,13,57,1,4
2020-05-27,21,192,7,64,0,4
2020-05-28,12,204,7,71,0,4
2020-05-29,12,216,12,83,0,4
2020-05-30,26,242,2,85,0,4
2020-05-31,22,264,8,93,0,4
2020-06-01,0,264,1,94,0,4
2020-06-02,40,304,19,113,0,4
2020-06-03,10,314,0,113,0,4
2020-06-04,15,329,5,118,0,4
2020-06-05,15,344,6,124,5,9
2020-06-06,8,352,29,153,0,9
2020-06-07,2,354,1,154,0,9
2020-06-08,17,371,23,177,3,12
2020-06-09,7,378,5,182,1,13
2020-06-10,3,381,4,186,0,13
2020-06-11,0,381,16,202,1,14
2020-06-12,10,391,32,234,0,14
2020-06-13,1,392,17,251,0,14
2020-06-14,0,392,20,271,1,15
2020-06-15,43,435,14,285,1,16
2020-06-16,10,445,10,295,1,17
2020-06-17,14,459,7,302,0,17
2020-06-18,13,472,5,307,0,17
2020-06-19,2,474,15,322,0,17
2020-06-20,8,482,3,325,-1,16
2020-06-21,19,501,4,329,0,16
2020-06-22,0,501,11,340,0,16
2020-06-23,3,504,7,347,6,22
2020-06-24,13,517,9,356,2,24
2020-06-25,12,529,13,369,0,24
2020-06-26,8,537,24,393,0,24
2020-06-27,8,545,21,414,0,24
2020-06-28,24,569,4,418,1,25
2020-06-29,1,570,1,419,0,25
2020-06-30,25,595,11,430,1,26
2020-07-01,19,614,10,440,0,26
2020-07-02,16,630,1,441,0,26
2020-07-03,47,677,3,444,0,26
2020-07-04,22,699,9,453,0,26
2020-07-05,13,712,13,466,0,26
2020-07-06,14,726,12,478,1,27
2020-07-07,41,767,25,503,0,27
2020-07-08,32,799,13,516,0,27
2020-07-09,24,823,10,526,0,27
2020-07-10,9,832,12,538,1,28
