dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-24,4,4,0,0,0,0
2020-03-25,5,9,0,0,0,0
2020-03-27,15,24,0,0,0,0
2020-03-29,1,25,0,0,0,0
2020-04-07,1,26,0,0,0,0
2020-04-21,0,26,0,0,1,1
2020-04-22,1,27,0,0,0,1
2020-04-23,1,28,0,0,0,1
2020-04-26,1,29,0,0,0,1
2020-04-29,2,31,0,0,0,1
2020-05-01,1,32,0,0,0,1
2020-05-02,1,33,0,0,0,1
2020-05-04,3,36,0,0,0,1
2020-05-06,1,37,0,0,0,1
2020-05-08,0,37,1,1,0,1
2020-05-10,2,39,0,1,0,1
2020-05-11,0,39,1,2,0,1
2020-05-12,1,40,1,3,0,1
2020-05-13,3,43,0,3,0,1
2020-05-14,2,45,0,3,0,1
2020-05-15,1,46,0,3,0,1
2020-05-16,1,47,2,5,0,1
2020-05-17,5,52,0,5,0,1
2020-05-18,3,55,1,6,0,1
2020-05-19,2,57,1,7,0,1
2020-05-20,2,59,1,8,0,1
2020-05-21,6,65,3,11,0,1
2020-05-22,8,73,0,11,0,1
2020-05-23,3,76,1,12,0,1
2020-05-24,6,82,5,17,0,1
2020-05-25,3,85,3,20,0,1
2020-05-26,4,89,0,20,0,1
2020-05-27,7,96,1,21,0,1
2020-05-28,7,103,0,21,0,1
2020-05-29,3,106,7,28,0,1
2020-05-30,8,114,2,30,0,1
2020-05-31,0,114,3,33,0,1
2020-06-01,0,114,4,37,0,1
2020-06-02,12,126,1,38,3,4
2020-06-03,2,128,0,38,0,4
2020-06-04,1,129,8,46,0,4
2020-06-05,9,138,8,54,0,4
2020-06-06,9,147,7,61,0,4
2020-06-07,5,152,2,63,0,4
2020-06-08,20,172,1,64,0,4
2020-06-09,10,182,6,70,0,4
2020-06-10,8,190,11,81,0,4
2020-06-11,7,197,2,83,0,4
2020-06-12,12,209,1,84,3,7
2020-06-13,14,223,5,89,0,7
2020-06-14,4,227,6,95,0,7
2020-06-15,21,248,5,100,0,7
2020-06-16,9,257,19,119,4,11
2020-06-17,12,269,0,119,0,11
2020-06-18,6,275,1,120,0,11
2020-06-19,1,276,7,127,0,11
2020-06-20,8,284,4,131,-4,7
2020-06-21,11,295,4,135,0,7
2020-06-22,4,299,8,143,0,7
2020-06-23,5,304,4,147,2,9
2020-06-24,1,305,4,151,0,9
2020-06-25,17,322,18,169,0,9
2020-06-26,3,325,2,171,0,9
2020-06-27,9,334,4,175,1,10
2020-06-28,15,349,1,176,1,11
2020-06-29,21,370,6,182,0,11
2020-06-30,8,378,10,192,0,11
2020-07-01,20,398,11,203,0,11
2020-07-02,15,413,6,209,0,11
2020-07-03,-35,378,5,214,0,11
2020-07-04,41,419,8,222,0,11
2020-07-05,13,432,4,226,0,11
2020-07-06,32,464,3,229,0,11
2020-07-07,17,481,7,236,0,11
2020-07-08,22,503,7,243,2,13
2020-07-09,22,525,15,258,0,13
2020-07-10,27,552,19,277,1,14
