dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-11,1,1,0,0,1,1
2020-05-15,1,2,0,0,0,1
2020-05-18,1,3,0,0,0,1
2020-05-24,1,4,0,0,0,1
2020-05-25,2,6,0,0,0,1
2020-05-26,1,7,0,0,0,1
2020-05-27,3,10,0,0,0,1
2020-05-28,1,11,0,0,0,1
2020-05-31,1,12,0,0,0,1
2020-06-01,-3,9,1,1,0,1
2020-06-03,0,9,1,2,0,1
2020-06-04,0,9,2,4,0,1
2020-06-05,0,9,2,6,0,1
2020-06-06,0,9,1,7,0,1
2020-06-07,2,11,0,7,0,1
2020-06-10,3,14,0,7,0,1
2020-06-14,0,14,1,8,0,1
2020-06-19,0,14,3,11,0,1
2020-06-25,1,15,0,11,0,1
2020-06-27,1,16,0,11,0,1
2020-06-29,1,17,0,11,0,1
2020-06-30,2,19,1,12,0,1
2020-07-02,-3,16,0,12,0,1
2020-07-04,1,17,1,13,0,1
2020-07-07,9,26,0,13,0,1
2020-07-09,0,26,1,14,0,1
2020-07-10,2,28,0,14,0,1
