dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-14,2,2,0,0,0,0
2020-03-16,1,3,0,0,0,0
2020-03-21,1,4,0,0,0,0
2020-03-30,0,4,3,3,0,0
2020-04-13,1,5,0,3,0,0
2020-04-16,8,13,0,3,0,0
2020-04-19,1,14,0,3,0,0
2020-04-20,1,15,0,3,0,0
2020-04-21,1,16,0,3,0,0
2020-04-22,2,18,0,3,0,0
2020-04-23,1,19,0,3,0,0
2020-04-24,1,20,0,3,0,0
2020-04-25,1,21,0,3,0,0
2020-04-26,1,22,0,3,0,0
2020-04-27,14,36,0,3,0,0
2020-04-28,9,45,0,3,0,0
2020-04-29,8,53,0,3,0,0
2020-05-04,12,65,0,3,0,0
2020-05-05,1,66,9,12,0,0
2020-05-07,1,67,0,12,0,0
2020-05-08,2,69,0,12,0,0
2020-05-10,1,70,21,33,0,0
2020-05-11,1,71,0,33,0,0
2020-05-12,1,72,9,42,0,0
2020-05-13,1,73,1,43,0,0
2020-05-17,0,73,37,80,0,0
2020-05-18,1,74,1,81,0,0
2020-05-19,1,75,1,82,0,0
2020-05-20,1,76,0,82,0,0
2020-05-21,9,85,2,84,0,0
2020-05-22,2,87,0,84,0,0
2020-05-24,2,89,0,84,0,0
2020-05-27,0,89,1,85,0,0
2020-05-28,1,90,0,85,0,0
2020-05-29,12,102,0,85,0,0
2020-05-30,2,104,0,85,0,0
2020-05-31,0,104,7,92,1,1
2020-06-02,1,105,0,92,0,1
2020-06-03,17,122,0,92,0,1
2020-06-04,7,129,0,92,1,2
2020-06-05,5,134,5,97,0,2
2020-06-07,0,134,11,108,0,2
2020-06-08,3,137,0,108,0,2
2020-06-09,1,138,1,109,0,2
2020-06-10,4,142,1,110,0,2
2020-06-11,2,144,0,110,0,2
2020-06-12,1,145,0,110,0,2
2020-06-13,5,150,17,127,1,3
2020-06-14,5,155,2,129,0,3
2020-06-15,9,164,1,130,0,3
2020-06-16,0,164,2,132,1,4
2020-06-17,15,179,0,132,1,5
2020-06-18,5,184,3,135,0,5
2020-06-19,12,196,14,149,0,5
2020-06-20,8,204,0,149,2,7
2020-06-21,3,207,5,154,0,7
2020-06-22,5,212,0,154,0,7
2020-06-23,13,225,0,154,1,8
2020-06-24,4,229,0,154,0,8
2020-06-25,24,253,12,166,1,9
2020-06-26,1,254,8,174,0,9
2020-06-27,-1,253,5,179,0,9
2020-06-28,4,257,0,179,1,10
2020-06-29,0,257,17,196,0,10
2020-06-30,2,259,0,196,0,10
2020-07-01,11,270,6,202,0,10
2020-07-02,13,283,12,214,0,10
2020-07-03,9,292,0,214,0,10
2020-07-04,11,303,6,220,1,11
2020-07-05,9,312,8,228,0,11
2020-07-06,3,315,3,231,0,11
2020-07-07,15,330,3,234,2,13
2020-07-08,11,341,12,246,1,14
2020-07-09,10,351,7,253,0,14
2020-07-10,25,376,6,259,0,14
