dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-06-01,2,2,0,0,0,0
2020-06-03,1,3,0,0,0,0
2020-06-04,1,4,0,0,0,0
2020-06-06,0,4,1,1,0,0
2020-06-08,36,40,0,1,0,0
2020-06-11,1,41,0,1,0,0
2020-06-17,10,51,0,1,0,0
2020-06-19,10,61,5,6,0,0
2020-06-20,13,74,0,6,0,0
2020-06-21,0,74,3,9,0,0
2020-06-22,3,77,0,9,0,0
2020-06-24,0,77,47,56,0,0
2020-06-25,2,79,1,57,0,0
2020-06-29,0,79,0,57,0,0
2020-06-30,1,80,0,57,0,0
2020-07-04,1,81,0,57,0,0
2020-07-09,1,82,0,57,0,0
