dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-29,0,0,2,2,0,0
2020-06-01,1,1,0,2,0,0
2020-06-03,1,2,0,2,0,0
2020-06-08,8,10,0,2,0,0
2020-06-09,1,11,0,2,0,0
2020-06-17,1,12,0,2,0,0
2020-06-19,9,21,13,15,0,0
2020-06-20,6,27,0,15,0,0
2020-06-21,20,47,0,15,0,0
2020-06-22,3,50,0,15,0,0
2020-06-24,5,55,2,17,0,0
2020-06-25,2,57,0,17,0,0
2020-06-26,1,58,0,17,0,0
2020-06-28,21,79,0,17,0,0
2020-06-29,2,81,0,17,0,0
2020-07-01,6,87,0,17,0,0
2020-07-02,2,89,0,17,0,0
2020-07-05,6,95,0,17,0,0
2020-07-10,28,123,0,17,0,0
