dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-06-04,5,5,0,0,0,0
2020-06-06,14,19,0,0,0,0
2020-06-07,3,22,0,0,0,0
2020-06-08,1,23,0,0,0,0
2020-06-09,20,43,0,0,0,0
2020-06-12,1,44,0,0,0,0
2020-06-17,4,48,0,0,0,0
2020-06-19,8,56,14,14,0,0
2020-06-20,22,78,0,14,0,0
2020-06-21,17,95,4,18,0,0
2020-06-22,2,97,0,18,0,0
2020-06-23,2,99,0,18,0,0
2020-06-24,2,101,0,18,0,0
2020-06-25,1,102,0,18,0,0
2020-06-29,33,135,0,18,0,0
2020-06-30,1,136,0,18,0,0
2020-07-02,1,137,0,18,0,0
2020-07-05,18,155,0,18,0,0
2020-07-07,5,160,0,18,0,0
