dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-06-01,2,2,0,0,0,0
2020-06-03,3,5,0,0,0,0
2020-06-08,2,7,0,0,0,0
2020-06-11,12,19,0,0,0,0
2020-06-16,6,25,0,0,0,0
2020-06-18,21,46,0,0,0,0
2020-06-19,9,55,5,5,0,0
2020-06-20,12,67,0,5,0,0
2020-06-21,1,68,4,9,0,0
2020-06-22,4,72,0,9,0,0
2020-06-23,11,83,0,9,0,0
2020-06-24,5,88,0,9,0,0
2020-06-25,2,90,1,10,0,0
2020-06-26,1,91,0,10,0,0
2020-06-28,6,97,0,10,0,0
2020-06-29,2,99,0,10,0,0
2020-06-30,4,103,0,10,0,0
2020-07-01,11,114,0,10,0,0
2020-07-04,6,120,0,10,0,0
2020-07-06,12,132,0,10,0,0
2020-07-07,26,158,0,10,0,0
2020-07-08,5,163,0,10,0,0
2020-07-10,4,167,0,10,0,0
