dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-06-03,4,4,0,0,0,0
2020-06-04,1,5,0,0,0,0
2020-06-06,0,5,1,1,0,0
2020-06-11,13,18,0,1,0,0
2020-06-12,1,19,0,1,0,0
2020-06-19,43,62,15,16,0,0
2020-06-20,31,93,0,16,0,0
2020-06-21,8,101,2,18,0,0
2020-06-22,4,105,0,18,0,0
2020-06-24,2,107,0,18,0,0
2020-06-25,55,162,7,25,0,0
2020-06-28,14,176,0,25,0,0
2020-06-29,0,176,0,25,0,0
2020-07-01,2,178,0,25,0,0
2020-07-05,2,180,0,25,0,0
2020-07-09,1,181,0,25,0,0
2020-07-10,10,191,0,25,0,0
