dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-31,0,0,2,2,0,0
2020-06-01,3,3,0,2,0,0
2020-06-03,1,4,0,2,0,0
2020-06-06,0,4,2,4,0,0
2020-06-07,6,10,0,4,0,0
2020-06-17,6,16,0,4,0,0
2020-06-19,17,33,15,19,0,0
2020-06-21,6,39,3,22,0,0
2020-06-22,1,40,0,22,0,0
2020-06-24,1,41,1,23,0,0
2020-06-25,2,43,0,23,0,0
2020-06-26,9,52,0,23,0,0
2020-06-27,1,53,0,23,0,0
2020-07-01,2,55,0,23,0,0
2020-07-02,1,56,0,23,0,0
2020-07-03,3,59,0,23,0,0
2020-07-10,8,67,0,23,0,0
