dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-25,2,2,0,0,0,0
2020-05-27,4,6,0,0,0,0
2020-05-28,6,12,0,0,0,0
2020-05-29,2,14,0,0,0,0
2020-05-30,8,22,0,0,0,0
2020-05-31,3,25,0,0,0,0
2020-06-02,6,31,0,0,0,0
2020-06-04,26,57,0,0,0,0
2020-06-06,-48,9,8,8,0,0
2020-06-07,11,20,0,8,0,0
2020-06-08,-8,12,0,8,0,0
2020-06-09,4,16,0,8,0,0
2020-06-10,0,16,4,12,0,0
2020-06-11,0,16,7,19,0,0
2020-06-12,23,39,8,27,0,0
2020-06-13,0,39,27,54,0,0
2020-06-14,-16,23,-54,0,0,0
2020-06-15,5,28,0,0,0,0
2020-06-17,1,29,0,0,0,0
2020-06-18,0,29,4,4,0,0
2020-06-19,1,30,0,4,0,0
2020-06-22,3,33,0,4,0,0
2020-06-23,24,57,0,4,0,0
2020-06-24,0,57,5,9,0,0
2020-06-25,3,60,8,17,0,0
2020-06-27,4,64,2,19,0,0
2020-06-28,20,84,0,19,0,0
2020-06-30,1,85,0,19,0,0
2020-07-01,1,86,0,19,0,0
2020-07-02,1,87,0,19,0,0
2020-07-03,0,87,10,29,0,0
2020-07-05,12,99,0,29,0,0
2020-07-06,15,114,0,29,0,0
2020-07-08,9,123,0,29,0,0
2020-07-10,18,141,0,29,0,0
