dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-25,1,1,0,0,0,0
2020-05-26,1,2,0,0,0,0
2020-05-27,1,3,0,0,0,0
2020-05-28,2,5,0,0,0,0
2020-05-29,4,9,0,0,0,0
2020-05-30,3,12,0,0,0,0
2020-05-31,4,16,0,0,0,0
2020-06-04,1,17,0,0,0,0
2020-06-06,-12,5,0,0,0,0
2020-06-07,-2,3,0,0,0,0
2020-06-08,3,6,0,0,0,0
2020-06-09,1,7,2,2,0,0
2020-06-10,1,8,8,10,0,0
2020-06-11,2,10,0,10,0,0
2020-06-12,2,12,0,10,0,0
2020-06-14,-5,7,-10,0,0,0
2020-06-16,1,8,0,0,0,0
2020-06-19,1,9,0,0,0,0
2020-06-20,2,11,0,0,0,0
2020-06-21,6,17,0,0,0,0
2020-06-23,9,26,0,0,0,0
2020-06-24,0,26,2,2,0,0
2020-06-25,3,29,2,4,0,0
2020-06-27,14,43,0,4,0,0
2020-06-28,3,46,0,4,0,0
2020-07-01,2,48,0,4,0,0
2020-07-02,1,49,0,4,0,0
2020-07-03,0,49,10,14,0,0
2020-07-04,2,51,0,14,0,0
2020-07-05,1,52,0,14,0,0
2020-07-07,1,53,0,14,0,0
2020-07-08,1,54,0,14,0,0
2020-07-10,20,74,0,14,0,0
