dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-09,13,13,0,0,0,0
2020-05-10,2,15,0,0,0,0
2020-05-19,2,17,0,0,0,0
2020-05-21,2,19,0,0,0,0
2020-05-22,0,19,15,15,0,0
2020-05-24,6,25,0,15,0,0
2020-05-25,-1,24,0,15,0,0
2020-05-26,1,25,0,15,0,0
2020-05-30,0,25,2,17,0,0
2020-05-31,0,25,2,19,0,0
2020-06-02,1,26,0,19,0,0
2020-06-03,3,29,5,24,0,0
2020-06-04,1,30,0,24,0,0
2020-06-05,1,31,1,25,0,0
2020-06-07,2,33,0,25,0,0
2020-06-12,6,39,6,31,0,0
2020-06-13,1,40,0,31,0,0
2020-06-14,1,41,0,31,0,0
2020-06-15,6,47,0,31,0,0
2020-06-16,1,48,2,33,0,0
2020-06-19,1,49,0,33,0,0
2020-06-20,6,55,0,33,0,0
2020-06-21,0,55,7,40,0,0
2020-06-22,1,56,0,40,0,0
2020-06-24,1,57,4,44,0,0
2020-06-25,1,58,3,47,0,0
2020-06-26,1,59,0,47,0,0
2020-06-27,0,59,1,48,0,0
2020-06-28,4,63,1,49,0,0
2020-06-29,0,63,4,53,0,0
2020-06-30,6,69,0,53,0,0
2020-07-01,1,70,0,53,0,0
2020-07-02,1,71,4,57,1,1
2020-07-04,24,95,0,57,0,1
2020-07-05,11,106,0,57,0,1
2020-07-06,1,107,3,60,0,1
2020-07-07,4,111,5,65,0,1
2020-07-08,1,112,4,69,0,1
2020-07-09,7,119,0,69,0,1
2020-07-10,3,122,23,92,0,1
