dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-10,3,3,0,0,0,0
2020-05-12,1,4,0,0,0,0
2020-05-18,1,5,0,0,0,0
2020-05-20,28,33,0,0,0,0
2020-05-21,0,33,3,3,0,0
2020-05-22,0,33,1,4,0,0
2020-05-28,0,33,1,5,0,0
2020-05-30,0,33,28,33,0,0
2020-06-01,1,34,0,33,0,0
2020-06-10,1,35,1,34,0,0
2020-06-12,3,38,0,34,0,0
2020-06-18,2,40,0,34,0,0
2020-06-20,0,40,1,35,0,0
2020-06-22,0,40,3,38,0,0
2020-06-26,1,41,0,38,0,0
2020-06-28,0,41,2,40,0,0
2020-06-30,1,42,0,40,0,0
2020-07-02,3,45,0,40,0,0
2020-07-06,0,45,1,41,0,0
2020-07-09,5,50,0,41,0,0
2020-07-10,0,50,1,42,0,0
