dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-29,1,1,0,0,0,0
2020-05-11,0,1,1,1,0,0
2020-05-14,1,2,0,1,0,0
2020-05-25,22,24,1,2,0,0
2020-05-30,4,28,0,2,0,0
2020-05-31,4,32,0,2,0,0
2020-06-03,1,33,22,24,0,0
2020-06-08,0,33,8,32,0,0
2020-06-09,5,38,0,32,0,0
2020-06-12,2,40,1,33,0,0
2020-06-19,0,40,5,38,0,0
2020-06-20,1,41,0,38,0,0
2020-06-21,0,41,2,40,0,0
2020-06-25,1,42,0,40,0,0
2020-06-29,0,42,1,41,0,0
2020-06-30,15,57,0,41,0,0
2020-07-01,4,61,0,41,0,0
2020-07-02,1,62,0,41,0,0
2020-07-03,0,62,1,42,0,0
2020-07-09,0,62,19,61,0,0
2020-07-10,4,66,0,61,0,0
