dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-18,2,2,0,0,0,0
2020-05-20,1,3,0,0,0,0
2020-05-23,2,5,0,0,0,0
2020-05-25,1,6,0,0,0,0
2020-05-26,7,13,0,0,0,0
2020-05-28,0,13,2,2,0,0
2020-05-30,0,13,1,3,0,0
2020-06-01,9,22,0,3,0,0
2020-06-02,0,22,2,5,0,0
2020-06-04,0,22,1,6,0,0
2020-06-05,3,25,7,13,0,0
2020-06-07,0,25,9,22,0,0
2020-06-08,10,35,0,22,0,0
2020-06-09,2,37,0,22,0,0
2020-06-11,15,52,3,25,0,0
2020-06-13,15,67,0,25,0,0
2020-06-14,22,89,0,25,0,0
2020-06-15,48,137,5,30,0,0
2020-06-16,0,137,6,36,0,0
2020-06-17,7,144,14,50,0,0
2020-06-18,3,147,14,64,0,0
2020-06-19,0,147,18,82,0,0
2020-06-20,0,147,19,101,0,0
2020-06-21,12,159,41,142,0,0
2020-06-22,0,159,2,144,0,0
2020-06-23,0,159,1,145,0,0
2020-06-24,17,176,0,145,0,0
2020-06-26,1,177,12,157,0,0
2020-06-27,0,177,1,158,0,0
2020-06-28,1,178,0,158,0,0
2020-06-30,0,178,17,175,0,0
2020-07-03,0,178,3,178,0,0
2020-07-04,8,186,0,178,0,0
2020-07-05,1,187,0,178,0,0
2020-07-06,3,190,0,178,0,0
2020-07-09,1,191,6,184,0,0
2020-07-10,2,193,1,185,0,0
