dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-16,1,1,0,0,0,0
2020-03-19,1,2,0,0,0,0
2020-03-26,1,3,0,0,0,0
2020-04-01,1,4,1,1,0,0
2020-04-03,10,14,1,2,0,0
2020-04-05,18,32,0,2,0,0
2020-04-07,1,33,0,2,2,2
2020-04-09,4,37,0,2,0,2
2020-04-10,2,39,0,2,0,2
2020-04-11,1,40,0,2,0,2
2020-04-13,1,41,0,2,0,2
2020-04-14,4,45,0,2,0,2
2020-04-17,0,45,2,4,0,2
2020-04-18,0,45,3,7,0,2
2020-04-21,0,45,1,8,0,2
2020-04-22,0,45,2,10,0,2
2020-04-23,0,45,1,11,0,2
2020-04-26,0,45,1,12,0,2
2020-04-27,0,45,2,14,0,2
2020-04-28,0,45,1,15,0,2
2020-04-29,1,46,1,16,0,2
2020-05-01,0,46,3,19,0,2
2020-05-02,0,46,1,20,0,2
2020-05-05,0,46,0,20,1,3
2020-05-07,3,49,1,21,0,3
2020-05-11,0,49,5,26,0,3
2020-05-13,0,49,8,34,0,3
2020-05-14,3,52,0,34,0,3
2020-05-15,3,55,0,34,0,3
2020-05-17,3,58,0,34,0,3
2020-05-18,1,59,3,37,0,3
2020-05-19,4,63,0,37,0,3
2020-05-20,7,70,0,37,1,4
2020-05-22,3,73,0,37,0,4
2020-05-24,3,76,3,40,0,4
2020-05-25,5,81,0,40,0,4
2020-05-26,4,85,4,44,0,4
2020-05-27,13,98,2,46,0,4
2020-05-28,11,109,1,47,0,4
2020-05-29,12,121,2,49,1,5
2020-05-30,9,130,7,56,0,5
2020-05-31,7,137,0,56,0,5
2020-06-01,3,140,3,59,0,5
2020-06-02,26,166,2,61,0,5
2020-06-03,3,169,2,63,0,5
2020-06-04,25,194,3,66,0,5
2020-06-05,22,216,10,76,1,6
2020-06-06,9,225,7,83,0,6
2020-06-07,18,243,39,122,0,6
2020-06-08,13,256,13,135,0,6
2020-06-09,19,275,11,146,0,6
2020-06-10,14,289,26,172,0,6
2020-06-11,17,306,3,175,1,7
2020-06-12,8,314,19,194,0,7
2020-06-13,19,333,8,202,0,7
2020-06-14,21,354,23,225,0,7
2020-06-15,7,361,23,248,0,7
2020-06-16,7,368,11,259,0,7
2020-06-17,25,393,10,269,0,7
2020-06-18,10,403,16,285,0,7
2020-06-19,8,411,12,297,0,7
2020-06-20,27,438,54,351,0,7
2020-06-21,5,443,32,383,0,7
2020-06-22,210,653,9,392,0,7
2020-06-23,8,661,33,425,0,7
2020-06-24,26,687,19,444,0,7
2020-06-25,47,734,23,467,0,7
2020-06-26,17,751,21,488,0,7
2020-06-27,19,770,45,533,0,7
2020-06-28,15,785,29,562,1,8
2020-06-29,28,813,19,581,0,8
2020-06-30,7,820,38,619,0,8
2020-07-01,26,846,12,631,0,8
2020-07-02,21,867,24,655,0,8
2020-07-03,26,893,37,692,0,8
2020-07-04,50,943,29,721,2,10
2020-07-05,27,970,10,731,0,10
2020-07-06,21,991,13,744,0,10
2020-07-07,37,1028,18,762,0,10
2020-07-08,50,1078,28,790,2,12
2020-07-09,56,1134,15,805,0,12
2020-07-10,59,1193,15,820,0,12
