dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-20,2,2,0,0,0,0
2020-05-21,1,3,0,0,0,0
2020-05-23,5,8,0,0,0,0
2020-05-24,2,10,0,0,0,0
2020-05-25,9,19,0,0,0,0
2020-05-30,0,19,2,2,0,0
2020-05-31,1,20,1,3,0,0
2020-06-01,1,21,0,3,0,0
2020-06-02,0,21,16,19,0,0
2020-06-07,0,21,2,21,0,0
2020-06-09,1,22,0,21,0,0
2020-06-12,3,25,0,21,0,0
2020-06-14,1,26,0,21,0,0
2020-06-16,21,47,1,22,0,0
2020-06-18,1,48,0,22,0,0
2020-06-19,1,49,0,22,0,0
2020-06-20,2,51,2,24,0,0
2020-06-21,2,53,4,28,0,0
2020-06-22,0,53,15,43,0,0
2020-06-23,0,53,1,44,0,0
2020-06-25,0,53,4,48,0,0
2020-06-27,5,58,0,48,0,0
2020-06-28,2,60,0,48,0,0
2020-06-30,36,96,4,52,0,0
2020-07-01,10,106,0,52,0,0
2020-07-03,0,106,1,53,0,0
2020-07-04,5,111,0,53,0,0
2020-07-05,1,112,0,53,0,0
2020-07-07,0,112,7,60,0,0
2020-07-08,3,115,1,61,0,0
2020-07-09,1,116,10,71,0,0
2020-07-10,18,134,30,101,0,0
