dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-06,3,3,0,0,0,0
2020-05-07,1,4,0,0,0,0
2020-05-09,4,8,0,0,0,0
2020-05-12,1,9,0,0,0,0
2020-05-15,2,11,0,0,0,0
2020-05-18,0,11,4,4,0,0
2020-05-20,0,11,3,7,0,0
2020-05-21,3,14,1,8,0,0
2020-05-23,0,14,1,9,0,0
2020-05-25,1,15,0,9,0,0
2020-05-26,0,15,2,11,0,0
2020-05-27,1,16,0,11,0,0
2020-05-29,1,17,0,11,0,0
2020-05-31,6,23,3,14,0,0
2020-06-01,3,26,0,14,0,0
2020-06-02,1,27,0,14,0,0
2020-06-03,8,35,0,14,0,0
2020-06-05,22,57,1,15,0,0
2020-06-06,13,70,1,16,0,0
2020-06-08,6,76,0,16,0,0
2020-06-09,3,79,0,16,0,0
2020-06-10,4,83,0,16,0,0
2020-06-11,9,92,4,20,0,0
2020-06-12,7,99,0,20,0,0
2020-06-13,9,108,7,27,0,0
2020-06-14,13,121,10,37,0,0
2020-06-15,0,121,13,50,0,0
2020-06-16,0,121,11,61,0,0
2020-06-17,5,126,6,67,0,0
2020-06-18,0,126,9,76,0,0
2020-06-19,3,129,5,81,0,0
2020-06-20,10,139,9,90,0,0
2020-06-21,6,145,8,98,0,0
2020-06-22,0,145,8,106,1,1
2020-06-23,14,159,13,119,0,1
2020-06-24,6,165,1,120,0,1
2020-06-25,7,172,0,120,0,1
2020-06-26,9,181,0,120,0,1
2020-06-27,0,181,1,121,0,1
2020-06-28,15,196,3,124,0,1
2020-06-29,5,201,10,134,0,1
2020-06-30,7,208,6,140,0,1
2020-07-01,5,213,0,140,0,1
2020-07-02,2,215,14,154,0,1
2020-07-03,10,225,6,160,0,1
2020-07-04,28,253,11,171,0,1
2020-07-05,6,259,8,179,0,1
2020-07-06,8,267,1,180,0,1
2020-07-07,14,281,15,195,1,2
2020-07-08,10,291,5,200,0,2
2020-07-09,14,305,7,207,0,2
2020-07-10,12,317,7,214,0,2
