dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-09,1,1,0,0,0,0
2020-05-14,3,4,0,0,0,0
2020-05-15,2,6,0,0,0,0
2020-05-18,3,9,0,0,0,0
2020-05-19,1,10,1,1,0,0
2020-05-21,11,21,0,1,0,0
2020-05-22,6,27,0,1,0,0
2020-05-23,5,32,0,1,0,0
2020-05-24,13,45,0,1,0,0
2020-05-25,0,45,3,4,0,0
2020-05-26,3,48,2,6,0,0
2020-05-27,2,50,0,6,0,0
2020-05-28,7,57,3,9,0,0
2020-05-29,7,64,1,10,0,0
2020-05-30,1,65,0,10,0,0
2020-05-31,0,65,11,21,0,0
2020-06-01,3,68,6,27,0,0
2020-06-02,1,69,3,30,0,0
2020-06-03,0,69,15,45,0,0
2020-06-04,7,76,0,45,0,0
2020-06-05,0,76,3,48,0,0
2020-06-06,7,83,2,50,0,0
2020-06-07,4,87,15,65,0,0
2020-06-08,3,90,3,68,0,0
2020-06-09,3,93,0,68,0,0
2020-06-10,4,97,7,75,0,0
2020-06-12,4,101,7,82,0,0
2020-06-13,7,108,3,85,0,0
2020-06-14,0,108,4,89,0,0
2020-06-15,4,112,3,92,0,0
2020-06-16,0,112,5,97,0,0
2020-06-18,0,112,4,101,0,0
2020-06-19,1,113,2,103,0,0
2020-06-20,0,113,4,107,0,0
2020-06-21,3,116,4,111,0,0
2020-06-22,13,129,0,111,0,0
2020-06-23,2,131,0,111,0,0
2020-06-24,1,132,0,111,0,0
2020-06-25,3,135,0,111,0,0
2020-06-27,3,138,0,111,0,0
2020-06-28,2,140,3,114,0,0
2020-06-29,3,143,12,126,0,0
2020-06-30,1,144,0,126,0,0
2020-07-01,14,158,1,127,0,0
2020-07-02,5,163,2,129,0,0
2020-07-04,1,164,3,132,0,0
2020-07-05,24,188,3,135,0,0
2020-07-06,4,192,3,138,0,0
2020-07-07,1,193,0,138,0,0
2020-07-08,18,211,14,152,0,0
2020-07-09,1,212,5,157,0,0
2020-07-10,16,228,0,157,0,0
