dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-24,1,1,0,0,0,0
2020-05-27,13,14,0,0,0,0
2020-05-30,4,18,0,0,0,0
2020-05-31,12,30,0,0,0,0
2020-06-01,3,33,0,0,0,0
2020-06-02,19,52,0,0,0,0
2020-06-03,8,60,0,0,0,0
2020-06-05,0,60,14,14,0,0
2020-06-06,8,68,0,14,0,0
2020-06-07,1,69,22,36,0,0
2020-06-08,3,72,0,36,0,0
2020-06-09,0,72,21,57,0,0
2020-06-11,2,74,0,57,0,0
2020-06-13,0,74,3,60,0,0
2020-06-15,0,74,2,62,0,0
2020-06-16,0,74,9,71,0,0
2020-06-17,4,78,0,71,0,0
2020-06-18,1,79,0,71,0,0
2020-06-23,0,79,6,77,0,0
2020-06-26,2,81,0,77,0,0
2020-06-28,1,82,1,78,0,0
2020-07-08,4,86,4,82,0,0
