dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-06-09,61,61,0,0,0,0
2020-06-11,54,115,0,0,0,0
2020-06-12,21,136,0,0,0,0
2020-06-14,13,149,0,0,0,0
2020-06-15,9,158,0,0,0,0
2020-06-16,16,174,0,0,0,0
2020-06-17,21,195,0,0,0,0
2020-06-19,11,206,0,0,0,0
2020-06-20,18,224,0,0,0,0
2020-06-21,42,266,0,0,0,0
2020-06-22,-266,0,0,0,0,0
2020-06-24,8,8,0,0,0,0
2020-06-25,6,14,0,0,0,0
2020-06-26,7,21,0,0,0,0
2020-06-27,-21,0,0,0,0,0
2020-06-29,0,0,0,0,0,0
2020-06-30,1,1,0,0,0,0
2020-07-01,1,2,0,0,0,0
2020-07-02,-2,0,0,0,0,0
2020-07-03,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0
