dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-06-03,1,1,0,0,0,0
2020-06-05,1,2,0,0,0,0
2020-06-08,1,3,0,0,0,0
2020-06-10,4,7,0,0,0,0
2020-06-13,0,7,2,2,0,0
2020-06-15,5,12,5,7,0,0
2020-06-20,5,17,0,7,0,0
2020-06-23,5,22,0,7,0,0
2020-06-25,0,22,5,12,0,0
2020-06-27,16,38,0,12,0,0
2020-06-29,1,39,0,12,0,0
2020-07-02,0,39,5,17,0,0
2020-07-03,76,115,5,22,0,0
2020-07-06,13,128,16,38,0,0
2020-07-07,10,138,0,38,0,0
2020-07-08,1,139,0,38,1,1
2020-07-10,0,139,85,123,0,1
