dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-10,1,1,0,0,0,0
2020-05-16,1,2,0,0,0,0
2020-05-19,0,2,1,1,0,0
2020-05-24,0,2,1,2,0,0
2020-06-12,1,3,0,2,0,0
2020-06-14,1,4,0,2,0,0
2020-06-16,2,6,0,2,0,0
2020-06-17,2,8,0,2,0,0
2020-06-19,1,9,0,2,0,0
2020-06-20,1,10,0,2,0,0
2020-06-22,0,10,1,3,0,0
2020-06-23,4,14,0,3,0,0
2020-06-25,7,21,0,3,0,0
2020-06-26,3,24,0,3,0,0
2020-06-27,15,39,0,3,0,0
2020-06-28,0,39,1,4,0,0
2020-06-29,0,39,0,4,0,0
2020-07-01,0,39,10,14,0,0
2020-07-02,3,42,0,14,0,0
2020-07-03,1,43,0,14,0,0
2020-07-04,2,45,3,17,0,0
2020-07-05,0,45,9,26,0,0
2020-07-06,1,46,10,36,0,0
2020-07-07,0,46,1,37,0,0
2020-07-08,25,71,1,38,0,0
2020-07-10,5,76,1,39,1,1
