dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-17,1,1,0,0,0,0
2020-04-07,0,1,1,1,0,0
2020-05-02,1,2,0,1,0,0
2020-05-08,0,2,1,2,0,0
2020-05-20,1,3,0,2,0,0
2020-05-22,1,4,0,2,0,0
2020-05-29,0,4,2,4,0,0
2020-06-08,1,5,0,4,0,0
2020-06-09,1,6,0,4,0,0
2020-06-11,2,8,0,4,0,0
2020-06-13,0,8,1,5,0,0
2020-06-14,1,9,0,5,0,0
2020-06-18,0,9,3,8,0,0
2020-06-20,0,9,1,9,0,0
2020-06-24,1,10,0,9,0,0
2020-06-30,3,13,0,9,0,0
2020-07-01,5,18,1,10,0,0
2020-07-06,1,19,0,10,0,0
2020-07-07,1,20,1,11,0,0
2020-07-08,0,20,2,13,0,0
2020-07-09,0,20,5,18,0,0
