dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-05,1,1,0,0,0,0
2020-04-09,1,2,0,0,0,0
2020-04-19,0,2,1,1,0,0
2020-05-03,2,4,0,1,0,0
2020-05-04,15,19,0,1,0,0
2020-05-06,1,20,0,1,0,0
2020-05-08,1,21,0,1,0,0
2020-05-16,0,21,19,20,0,0
2020-05-21,1,22,0,20,0,0
2020-05-27,1,23,0,20,0,0
2020-05-31,1,24,0,20,0,0
2020-06-03,0,24,1,21,0,0
2020-06-06,1,25,0,21,0,0
2020-06-07,1,26,0,21,0,0
2020-06-09,1,27,1,22,0,0
2020-06-10,1,28,2,24,0,0
2020-06-12,1,29,0,24,0,0
2020-06-13,2,31,0,24,0,0
2020-06-15,0,31,0,24,0,0
2020-06-18,8,39,0,24,0,0
2020-06-19,3,42,0,24,1,1
2020-06-20,1,43,1,25,0,1
2020-06-22,0,43,2,27,0,1
2020-06-23,3,46,0,27,0,1
2020-06-27,4,50,1,28,0,1
2020-06-29,9,59,0,28,0,1
2020-07-01,0,59,12,40,0,1
2020-07-02,4,63,0,40,0,1
2020-07-03,1,64,1,41,0,1
2020-07-04,5,69,0,41,0,1
2020-07-05,2,71,0,41,0,1
2020-07-06,0,71,3,44,0,1
2020-07-09,0,71,4,48,0,1
2020-07-10,1,72,1,49,0,1
