dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-01,4,4,0,0,0,0
2020-05-05,34,38,0,0,0,0
2020-05-06,1,39,0,0,0,0
2020-05-11,1,40,0,0,0,0
2020-05-12,1,41,0,0,0,0
2020-05-15,3,44,0,0,0,0
2020-05-19,0,44,39,39,0,0
2020-05-21,0,44,2,41,0,0
2020-05-24,0,44,3,44,0,0
2020-05-30,2,46,0,44,0,0
2020-06-01,-2,44,0,44,0,0
2020-06-04,1,45,-2,42,0,0
2020-06-06,1,46,0,42,0,0
2020-06-07,1,47,0,42,0,0
2020-06-08,1,48,1,43,0,0
2020-06-12,2,50,1,44,0,0
2020-06-14,0,50,2,46,0,0
2020-06-15,0,50,1,47,0,0
2020-06-16,3,53,1,48,0,0
2020-06-17,1,54,0,48,0,0
2020-06-19,1,55,2,50,0,0
2020-06-21,6,61,0,50,0,0
2020-06-22,14,75,0,50,0,0
2020-06-25,2,77,4,54,0,0
2020-06-26,13,90,1,55,0,0
2020-06-28,1,91,16,71,0,0
2020-07-01,4,95,0,71,0,0
2020-07-02,5,100,0,71,0,0
2020-07-03,1,101,3,74,0,0
2020-07-04,1,102,1,75,0,0
2020-07-05,1,103,1,76,0,0
2020-07-08,-1,102,14,90,0,0
2020-07-09,0,102,2,92,0,0
2020-07-10,1,103,0,92,0,0
