dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-17,1,1,0,0,0,0
2020-04-30,1,2,0,0,0,0
2020-05-01,15,17,0,0,0,0
2020-05-02,9,26,0,0,0,0
2020-05-03,3,29,1,1,1,1
2020-05-04,13,42,0,1,0,1
2020-05-06,1,43,0,1,0,1
2020-05-11,1,44,0,1,0,1
2020-05-16,0,44,42,43,0,1
2020-06-01,2,46,0,43,0,1
2020-06-04,0,46,2,45,0,1
2020-06-12,1,47,0,45,0,1
2020-06-13,1,48,0,45,0,1
2020-06-14,1,49,0,45,0,1
2020-06-15,2,51,1,46,0,1
2020-06-16,1,52,0,46,0,1
2020-06-17,6,58,0,46,1,2
2020-06-18,1,59,0,46,0,2
2020-06-19,3,62,0,46,0,2
2020-06-21,0,62,0,46,1,3
2020-06-22,11,73,0,46,0,3
2020-06-23,4,77,0,46,0,3
2020-06-24,4,81,0,46,0,3
2020-06-25,5,86,3,49,0,3
2020-06-26,2,88,1,50,0,3
2020-06-27,2,90,5,55,0,3
2020-06-28,3,93,0,55,0,3
2020-06-29,3,96,0,55,0,3
2020-07-02,4,100,0,55,0,3
2020-07-03,2,102,0,55,0,3
2020-07-04,5,107,8,63,0,3
2020-07-05,12,119,0,63,0,3
2020-07-07,3,122,0,63,0,3
2020-07-08,9,131,22,85,0,3
2020-07-09,12,143,0,85,0,3
2020-07-10,4,147,0,85,0,3
