dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-06,1,1,0,0,0,0
2020-04-12,1,2,0,0,0,0
2020-04-21,0,2,1,1,0,0
2020-04-22,1,3,0,1,0,0
2020-04-23,0,3,0,1,1,1
2020-04-25,0,3,1,2,0,1
2020-04-27,3,6,0,2,0,1
2020-04-30,6,12,0,2,0,1
2020-05-02,1,13,0,2,0,1
2020-05-04,0,13,0,2,1,2
2020-05-05,5,18,0,2,0,2
2020-05-08,5,23,0,2,0,2
2020-05-09,1,24,0,2,0,2
2020-05-10,1,25,0,2,0,2
2020-05-12,1,26,0,2,0,2
2020-05-13,1,27,0,2,0,2
2020-05-16,5,32,23,25,0,2
2020-05-18,1,33,5,30,1,3
2020-05-21,1,34,0,30,0,3
2020-05-23,1,35,0,30,0,3
2020-05-25,1,36,0,30,0,3
2020-05-29,0,36,3,33,0,3
2020-06-02,2,38,0,33,0,3
2020-06-05,2,40,0,33,0,3
2020-06-10,1,41,0,33,0,3
2020-06-13,1,42,4,37,0,3
2020-06-14,0,42,1,38,0,3
2020-06-15,2,44,0,38,0,3
2020-06-16,4,48,0,38,0,3
2020-06-17,1,49,3,41,0,3
2020-06-18,2,51,2,43,0,3
2020-06-19,7,58,1,44,0,3
2020-06-20,4,62,0,44,1,4
2020-06-21,3,65,0,44,0,4
2020-06-22,-2,63,0,44,0,4
2020-06-23,4,67,0,44,0,4
2020-06-24,9,76,0,44,1,5
2020-06-25,7,83,0,44,0,5
2020-06-27,2,85,6,50,0,5
2020-06-28,4,89,5,55,0,5
2020-06-29,1,90,11,66,0,5
2020-06-30,6,96,0,66,0,5
2020-07-02,9,105,3,69,0,5
2020-07-03,1,106,9,78,0,5
2020-07-04,3,109,0,78,0,5
2020-07-05,0,109,1,79,0,5
2020-07-06,5,114,3,82,0,5
2020-07-07,7,121,5,87,0,5
2020-07-08,0,121,1,88,0,5
2020-07-09,5,126,0,88,1,6
