dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-25,1,1,0,0,0,0
2020-03-30,1,2,0,0,1,1
2020-04-01,1,3,0,0,0,1
2020-04-03,1,4,0,0,0,1
2020-04-05,1,5,0,0,1,2
2020-04-06,1,6,0,0,0,2
2020-04-09,4,10,0,0,0,2
2020-04-11,0,10,0,0,1,3
2020-04-13,1,11,0,0,0,3
2020-04-17,4,15,0,0,0,3
2020-04-18,0,15,0,0,2,5
2020-04-21,0,15,1,1,0,5
2020-04-24,1,16,0,1,0,5
2020-04-26,1,17,0,1,0,5
2020-04-27,0,17,2,3,0,5
2020-04-29,11,28,0,3,0,5
2020-04-30,34,62,0,3,0,5
2020-05-01,13,75,0,3,0,5
2020-05-02,21,96,0,3,0,5
2020-05-03,14,110,0,3,0,5
2020-05-04,-1,109,0,3,1,6
2020-05-05,14,123,0,3,0,6
2020-05-06,0,123,2,5,0,6
2020-05-07,1,124,0,5,0,6
2020-05-09,0,124,0,5,1,7
2020-05-11,2,126,0,5,0,7
2020-05-12,16,142,0,5,0,7
2020-05-13,5,147,0,5,0,7
2020-05-14,3,150,0,5,0,7
2020-05-15,-15,135,0,5,0,7
2020-05-16,3,138,21,26,0,7
2020-05-17,5,143,0,26,1,8
2020-05-18,6,149,0,26,0,8
2020-05-19,19,168,0,26,0,8
2020-05-20,0,168,88,114,0,8
2020-05-21,2,170,0,114,0,8
2020-05-22,1,171,0,114,0,8
2020-05-23,1,172,0,114,0,8
2020-05-24,0,172,18,132,0,8
2020-05-26,2,174,0,132,0,8
2020-05-27,1,175,0,132,0,8
2020-05-29,4,179,0,132,1,9
2020-05-30,0,179,12,144,1,10
2020-05-31,9,188,4,148,0,10
2020-06-01,8,196,0,148,-1,9
2020-06-02,4,200,0,148,1,10
2020-06-04,5,205,1,149,0,10
2020-06-05,16,221,3,152,0,10
2020-06-06,10,231,0,152,0,10
2020-06-07,10,241,0,152,1,11
2020-06-08,9,250,5,157,0,11
2020-06-09,15,265,0,157,0,11
2020-06-10,11,276,14,171,0,11
2020-06-11,18,294,0,171,0,11
2020-06-12,12,306,1,172,0,11
2020-06-13,26,332,0,172,0,11
2020-06-14,21,353,0,172,0,11
2020-06-15,33,386,0,172,0,11
2020-06-16,22,408,0,172,1,12
2020-06-17,40,448,0,172,0,12
2020-06-18,21,469,0,172,2,14
2020-06-19,19,488,0,172,0,14
2020-06-20,7,495,0,172,1,15
2020-06-21,54,549,0,172,0,15
2020-06-22,31,580,66,238,2,17
2020-06-23,34,614,151,389,2,19
2020-06-24,27,641,41,430,0,19
2020-06-25,21,662,13,443,1,20
2020-06-26,67,729,0,443,0,20
2020-06-27,12,741,0,443,0,20
2020-06-28,39,780,0,443,1,21
2020-06-29,14,794,124,567,0,21
2020-06-30,45,839,0,567,1,22
2020-07-01,40,879,0,567,1,23
2020-07-02,37,916,0,567,0,23
2020-07-03,54,970,0,567,2,25
2020-07-04,46,1016,0,567,0,25
2020-07-05,62,1078,0,567,0,25
2020-07-06,25,1103,0,567,3,28
2020-07-07,78,1181,0,567,1,29
2020-07-08,12,1193,41,608,1,30
2020-07-09,54,1247,0,608,1,31
2020-07-10,39,1286,0,608,0,31
