dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,3,3,0,0,0,0
2020-04-07,2,5,0,0,0,0
2020-04-09,6,11,0,0,0,0
2020-04-23,0,11,1,1,0,0
2020-04-24,2,13,0,1,0,0
2020-04-25,0,13,1,2,0,0
2020-05-01,0,13,1,3,0,0
2020-05-03,3,16,0,3,0,0
2020-05-04,1,17,0,3,0,0
2020-05-06,2,19,0,3,0,0
2020-05-07,0,19,1,4,0,0
2020-05-08,1,20,0,4,0,0
2020-05-10,0,20,1,5,0,0
2020-05-11,12,32,0,5,0,0
2020-05-14,0,32,3,8,0,0
2020-05-15,0,32,1,9,0,0
2020-05-19,0,32,9,18,0,0
2020-05-20,0,32,3,21,0,0
2020-05-22,0,32,8,29,0,0
2020-05-24,0,32,2,31,0,0
2020-06-06,2,34,0,31,0,0
2020-06-17,3,37,2,33,0,0
2020-06-18,1,38,0,33,0,0
2020-06-20,1,39,1,34,0,0
2020-06-23,3,42,0,34,0,0
2020-06-24,1,43,0,34,0,0
2020-06-25,1,44,0,34,0,0
2020-06-26,0,44,1,35,0,0
2020-06-29,4,48,3,38,0,0
2020-06-30,0,48,1,39,0,0
2020-07-04,1,49,4,43,0,0
2020-07-05,1,50,0,43,0,0
2020-07-06,1,51,0,43,0,0
2020-07-08,2,53,1,44,0,0
2020-07-09,3,56,0,44,0,0
2020-07-10,1,57,0,44,0,0
