dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-07,4,4,0,0,0,0
2020-04-23,0,4,4,4,0,0
2020-04-30,1,5,0,4,0,0
2020-05-01,1,6,0,4,0,0
2020-05-02,22,28,0,4,0,0
2020-05-06,28,56,0,4,0,0
2020-05-10,1,57,0,4,0,0
2020-05-11,2,59,0,4,0,0
2020-05-15,0,59,44,48,0,0
2020-05-16,0,59,10,58,0,0
2020-05-17,2,61,0,58,0,0
2020-05-19,-2,59,1,59,0,0
2020-05-29,2,61,0,59,0,0
2020-05-31,1,62,0,59,0,0
2020-06-02,2,64,0,59,0,0
2020-06-05,1,65,5,64,0,0
2020-06-06,1,66,0,64,0,0
2020-06-08,1,67,0,64,0,0
2020-06-10,0,67,1,65,0,0
2020-06-11,2,69,2,67,0,0
2020-06-14,1,70,1,68,0,0
2020-06-15,1,71,0,68,0,0
2020-06-17,3,74,2,70,0,0
2020-06-19,0,74,0,70,1,1
2020-06-20,1,75,0,70,0,1
2020-06-22,1,76,3,73,0,1
2020-06-23,9,85,1,74,0,1
2020-06-24,1,86,0,74,0,1
2020-06-25,6,92,1,75,1,2
2020-06-27,2,94,4,79,0,2
2020-06-29,1,95,0,79,0,2
2020-06-30,7,102,0,79,0,2
2020-07-01,5,107,0,79,0,2
2020-07-02,3,110,7,86,0,2
2020-07-03,4,114,5,91,0,2
2020-07-04,2,116,2,93,2,4
2020-07-05,5,121,0,93,0,4
2020-07-07,14,135,0,93,0,4
2020-07-08,-1,134,0,93,0,4
2020-07-09,3,137,3,96,0,4
2020-07-10,1,138,0,96,0,4
