dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-20,1,1,0,0,0,0
2020-03-21,3,4,0,0,0,0
2020-03-23,1,5,0,0,0,0
2020-03-24,1,6,0,0,0,0
2020-03-27,1,7,0,0,0,0
2020-03-31,0,7,0,0,1,1
2020-04-01,3,10,0,0,0,1
2020-04-03,2,12,0,0,0,1
2020-04-04,2,14,0,0,0,1
2020-04-05,1,15,0,0,0,1
2020-04-06,4,19,0,0,0,1
2020-04-07,7,26,0,0,0,1
2020-04-08,4,30,0,0,0,1
2020-04-09,7,37,0,0,0,1
2020-04-10,11,48,0,0,1,2
2020-04-11,2,50,0,0,0,2
2020-04-12,3,53,0,0,0,2
2020-04-13,1,54,0,0,0,2
2020-04-14,2,56,0,0,0,2
2020-04-16,0,56,1,1,0,2
2020-04-18,1,57,0,1,0,2
2020-04-19,4,61,2,3,0,2
2020-04-21,1,62,6,9,0,2
2020-04-24,1,63,0,9,0,2
2020-04-26,0,63,8,17,0,2
2020-04-27,0,63,6,23,0,2
2020-04-28,2,65,3,26,0,2
2020-04-29,8,73,0,26,0,2
2020-04-30,13,86,0,26,0,2
2020-05-01,6,92,0,26,0,2
2020-05-02,2,94,3,29,0,2
2020-05-03,1,95,2,31,0,2
2020-05-04,0,95,7,38,0,2
2020-05-07,0,95,6,44,0,2
2020-05-08,0,95,3,47,1,3
2020-05-10,7,102,2,49,0,3
2020-05-12,0,102,1,50,0,3
2020-05-13,0,102,2,52,0,3
2020-05-15,0,102,3,55,0,3
2020-05-16,0,102,35,90,0,3
2020-05-18,0,102,2,92,0,3
2020-05-21,0,102,2,94,0,3
2020-05-25,1,103,0,94,0,3
2020-05-28,1,104,0,94,0,3
2020-05-29,3,107,0,94,0,3
2020-05-30,4,111,0,94,0,3
2020-06-01,2,113,1,95,0,3
2020-06-03,7,120,0,95,0,3
2020-06-04,0,120,3,98,0,3
2020-06-05,4,124,1,99,0,3
2020-06-07,1,125,0,99,0,3
2020-06-08,3,128,1,100,0,3
2020-06-09,5,133,0,100,0,3
2020-06-10,3,136,4,104,0,3
2020-06-11,4,140,0,104,0,3
2020-06-12,3,143,4,108,0,3
2020-06-13,11,154,1,109,0,3
2020-06-14,10,164,0,109,0,3
2020-06-15,11,175,0,109,0,3
2020-06-16,4,179,10,119,0,3
2020-06-17,5,184,5,124,0,3
2020-06-18,7,191,2,126,0,3
2020-06-19,11,202,5,131,0,3
2020-06-20,11,213,0,131,0,3
2020-06-21,4,217,12,143,0,3
2020-06-22,2,219,0,143,0,3
2020-06-23,0,219,22,165,0,3
2020-06-24,5,224,0,165,0,3
2020-06-25,4,228,0,165,0,3
2020-06-26,6,234,0,165,0,3
2020-06-27,8,242,12,177,0,3
2020-06-28,8,250,8,185,0,3
2020-06-29,4,254,2,187,0,3
2020-06-30,11,265,4,191,0,3
2020-07-01,6,271,0,191,1,4
2020-07-02,6,277,6,197,0,4
2020-07-03,4,281,8,205,0,4
2020-07-04,5,286,10,215,1,5
2020-07-05,16,302,0,215,0,5
2020-07-06,15,317,9,224,0,5
2020-07-07,2,319,5,229,1,6
2020-07-08,6,325,12,241,0,6
2020-07-09,10,335,7,248,0,6
2020-07-10,21,356,4,252,1,7
