dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-09,1,1,0,0,0,0
2020-04-10,1,2,0,0,0,0
2020-04-15,1,3,0,0,0,0
2020-04-23,0,3,1,1,0,0
2020-04-24,0,3,1,2,0,0
2020-04-29,1,4,0,2,0,0
2020-04-30,2,6,1,3,0,0
2020-05-02,1,7,0,3,0,0
2020-05-03,4,11,0,3,0,0
2020-05-04,52,63,0,3,0,0
2020-05-05,22,85,0,3,0,0
2020-05-06,2,87,0,3,0,0
2020-05-07,1,88,0,3,0,0
2020-05-16,0,88,51,54,0,0
2020-05-18,0,88,26,80,0,0
2020-05-19,0,88,7,87,0,0
2020-05-22,0,88,1,88,0,0
2020-05-25,1,89,0,88,0,0
2020-05-27,2,91,0,88,0,0
2020-05-28,3,94,3,91,0,0
2020-05-30,2,96,0,91,0,0
2020-06-02,6,102,0,91,0,0
2020-06-04,1,103,1,92,0,0
2020-06-05,1,104,0,92,0,0
2020-06-06,0,104,4,96,0,0
2020-06-07,5,109,0,96,0,0
2020-06-08,2,111,0,96,0,0
2020-06-09,5,116,0,96,0,0
2020-06-10,4,120,5,101,0,0
2020-06-11,10,130,0,101,1,1
2020-06-12,5,135,1,102,0,1
2020-06-13,3,138,1,103,0,1
2020-06-14,5,143,4,107,2,3
2020-06-15,15,158,1,108,0,3
2020-06-16,4,162,0,108,0,3
2020-06-17,2,164,9,117,1,4
2020-06-18,8,172,0,117,1,5
2020-06-19,18,190,0,117,1,6
2020-06-20,14,204,17,134,0,6
2020-06-21,2,206,0,134,0,6
2020-06-22,15,221,6,140,0,6
2020-06-23,18,239,0,140,0,6
2020-06-24,64,303,0,140,1,7
2020-06-25,19,322,17,157,2,9
2020-06-26,24,346,0,157,0,9
2020-06-27,17,363,7,164,3,12
2020-06-28,45,408,57,221,0,12
2020-06-29,60,468,0,221,1,13
2020-06-30,22,490,0,221,0,13
2020-07-01,2,492,78,299,0,13
2020-07-02,1,493,0,299,1,14
2020-07-03,18,511,29,328,0,14
2020-07-04,16,527,0,328,0,14
2020-07-05,8,535,45,373,0,14
2020-07-06,9,544,39,412,1,15
2020-07-07,44,588,27,439,1,16
2020-07-08,5,593,20,459,0,16
2020-07-09,16,609,11,470,1,17
2020-07-10,13,622,24,494,0,17
