dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-19,0,0,0,0,1,1
2020-03-21,6,6,0,0,0,1
2020-03-22,7,13,0,0,0,1
2020-03-23,1,14,0,0,0,1
2020-03-26,1,15,0,0,0,1
2020-03-27,3,18,0,0,0,1
2020-04-18,0,18,1,1,0,1
2020-04-26,1,19,0,1,0,1
2020-04-29,2,21,0,1,0,1
2020-04-30,1,22,0,1,0,1
2020-05-03,62,84,0,1,0,1
2020-05-06,1,85,0,1,0,1
2020-05-08,18,103,0,1,0,1
2020-05-15,-1,102,0,1,0,1
2020-05-16,0,102,50,51,0,1
2020-05-17,3,105,0,51,0,1
2020-05-19,-1,104,0,51,0,1
2020-05-20,0,104,30,81,0,1
2020-05-24,0,104,2,83,0,1
2020-05-25,0,104,1,84,0,1
2020-05-26,1,105,0,84,0,1
2020-05-31,0,105,1,85,0,1
2020-06-01,-3,102,-2,83,0,1
2020-06-02,2,104,0,83,0,1
2020-06-03,1,105,0,83,0,1
2020-06-04,0,105,0,83,0,1
2020-06-06,1,106,1,84,0,1
2020-06-08,2,108,-1,83,0,1
2020-06-09,0,108,1,84,0,1
2020-06-10,1,109,3,87,0,1
2020-06-11,2,111,0,87,0,1
2020-06-12,2,113,0,87,0,1
2020-06-13,5,118,0,87,0,1
2020-06-15,1,119,2,89,0,1
2020-06-16,1,120,3,92,0,1
2020-06-21,2,122,0,92,0,1
2020-06-22,2,124,9,101,0,1
2020-06-24,1,125,0,101,0,1
2020-06-25,0,125,1,102,0,1
2020-06-27,2,127,0,102,0,1
2020-06-28,2,129,1,103,0,1
2020-06-29,10,139,3,106,0,1
2020-06-30,1,140,0,106,0,1
2020-07-03,6,146,2,108,0,1
2020-07-04,1,147,0,108,0,1
2020-07-06,1,148,12,120,0,1
2020-07-07,26,174,0,120,0,1
2020-07-08,0,174,3,123,0,1
2020-07-09,4,178,0,123,0,1
2020-07-10,5,183,0,123,0,1
