dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-09,1,1,0,0,0,0
2020-04-30,3,4,0,0,0,0
2020-05-01,0,4,1,1,0,0
2020-05-02,3,7,0,1,0,0
2020-05-03,43,50,0,1,0,0
2020-05-04,-1,49,0,1,0,0
2020-05-05,15,64,0,1,0,0
2020-05-06,1,65,0,1,0,0
2020-05-16,0,65,5,6,0,0
2020-05-17,0,65,36,42,0,0
2020-05-18,0,65,6,48,0,0
2020-05-19,0,65,2,50,0,0
2020-05-21,0,65,8,58,0,0
2020-05-23,1,66,7,65,0,0
2020-05-30,0,66,1,66,0,0
2020-06-03,2,68,0,66,0,0
2020-06-04,1,69,0,66,0,0
2020-06-05,1,70,0,66,0,0
2020-06-09,1,71,0,66,0,0
2020-06-11,1,72,4,70,0,0
2020-06-12,0,72,1,71,0,0
2020-06-14,1,73,0,71,0,0
2020-06-19,6,79,1,72,0,0
2020-06-21,2,81,0,72,0,0
2020-06-22,3,84,0,72,0,0
2020-06-24,33,117,0,72,0,0
2020-06-25,8,125,7,79,0,0
2020-06-27,1,126,0,79,0,0
2020-06-28,1,127,2,81,0,0
2020-07-01,0,127,32,113,0,0
2020-07-02,6,133,0,113,0,0
2020-07-03,0,133,10,123,0,0
2020-07-05,0,133,2,125,0,0
2020-07-06,6,139,0,125,1,1
2020-07-07,0,139,1,126,0,1
2020-07-08,1,140,0,126,0,1
2020-07-09,3,143,6,132,0,1
2020-07-10,1,144,1,133,0,1
