dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-27,5,5,0,0,0,0
2020-04-28,2,7,0,0,0,0
2020-04-30,7,14,0,0,0,0
2020-05-04,26,40,0,0,0,0
2020-05-05,47,87,0,0,0,0
2020-05-06,16,103,0,0,0,0
2020-05-07,43,146,0,0,0,0
2020-05-08,11,157,0,0,0,0
2020-05-11,1,158,0,0,0,0
2020-05-16,-4,154,85,85,0,0
2020-05-18,1,155,62,147,0,0
2020-05-19,0,155,7,154,0,0
2020-05-22,-2,153,0,154,0,0
2020-05-24,0,153,-2,152,0,0
2020-05-25,1,154,0,152,0,0
2020-05-27,2,156,0,152,0,0
2020-05-30,1,157,0,152,0,0
2020-05-31,0,157,1,153,0,0
2020-06-05,2,159,1,154,1,1
2020-06-09,1,160,0,154,0,1
2020-06-10,0,160,3,157,0,1
2020-06-13,4,164,0,157,0,1
2020-06-14,3,167,2,159,0,1
2020-06-15,1,168,0,159,0,1
2020-06-16,1,169,0,159,0,1
2020-06-17,1,170,2,161,0,1
2020-06-18,6,176,0,161,0,1
2020-06-19,2,178,0,161,1,2
2020-06-20,2,180,0,161,0,2
2020-06-21,1,181,0,161,0,2
2020-06-22,3,184,0,161,0,2
2020-06-23,2,186,2,163,0,2
2020-06-25,1,187,0,163,1,3
2020-06-27,0,187,3,166,0,3
2020-06-28,1,188,0,166,0,3
2020-06-29,6,194,7,173,0,3
2020-07-01,2,196,0,173,1,4
2020-07-02,2,198,6,179,0,4
2020-07-03,6,204,2,181,0,4
2020-07-04,2,206,0,181,0,4
2020-07-05,1,207,0,181,1,5
2020-07-06,0,207,3,184,0,5
2020-07-08,1,208,1,185,0,5
2020-07-09,9,217,0,185,0,5
2020-07-10,-1,216,6,191,0,5
