dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,2,2,0,0,0,0
2020-04-07,7,9,0,0,0,0
2020-04-08,1,10,0,0,0,0
2020-04-09,2,12,0,0,0,0
2020-04-10,12,24,0,0,0,0
2020-04-11,13,37,0,0,0,0
2020-04-12,15,52,0,0,0,0
2020-04-13,7,59,0,0,0,0
2020-04-18,1,60,0,0,0,0
2020-04-20,1,61,0,0,0,0
2020-04-24,0,61,16,16,0,0
2020-04-26,1,62,0,16,0,0
2020-04-27,0,62,10,26,0,0
2020-04-28,1,63,0,26,0,0
2020-04-29,1,64,0,26,0,0
2020-04-30,2,66,0,26,0,0
2020-05-01,0,66,10,36,0,0
2020-05-03,0,66,10,46,0,0
2020-05-05,0,66,7,53,0,0
2020-05-10,0,66,4,57,1,1
2020-05-12,0,66,1,58,0,1
2020-05-13,2,68,0,58,0,1
2020-05-15,0,68,2,60,0,1
2020-05-16,0,68,1,61,0,1
2020-05-18,4,72,0,61,0,1
2020-05-20,3,75,0,61,0,1
2020-05-22,9,84,0,61,0,1
2020-05-23,1,85,0,61,0,1
2020-05-26,0,85,6,67,0,1
2020-05-28,0,85,2,69,1,2
2020-05-31,0,85,7,76,0,2
2020-06-01,0,85,2,78,0,2
2020-06-07,1,86,0,78,0,2
2020-06-08,3,89,0,78,0,2
2020-06-09,1,90,0,78,0,2
2020-06-10,0,90,1,79,0,2
2020-06-14,0,90,3,82,0,2
2020-06-18,2,92,0,82,0,2
2020-06-19,0,92,1,83,0,2
2020-06-23,0,92,2,85,0,2
2020-06-25,1,93,0,85,0,2
2020-06-26,1,94,0,85,0,2
2020-06-28,5,99,0,85,0,2
2020-07-01,0,99,2,87,0,2
2020-07-03,0,99,3,90,0,2
2020-07-06,0,99,1,91,0,2
2020-07-07,1,100,0,91,0,2
2020-07-08,0,100,1,92,0,2
