dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-20,6,6,0,0,0,0
2020-03-21,7,13,0,0,0,0
2020-03-25,4,17,0,0,0,0
2020-03-26,1,18,0,0,1,1
2020-03-27,2,20,0,0,0,1
2020-03-28,3,23,0,0,0,1
2020-03-29,1,24,0,0,0,1
2020-03-30,1,25,0,0,0,1
2020-04-04,1,26,0,0,0,1
2020-04-09,1,27,0,0,0,1
2020-04-19,1,28,0,0,0,1
2020-04-20,1,29,0,0,0,1
2020-04-21,5,34,0,0,0,1
2020-04-27,2,36,0,0,0,1
2020-04-29,2,38,0,0,0,1
2020-05-05,2,40,5,5,0,1
2020-05-08,4,44,0,5,0,1
2020-05-12,0,44,3,8,0,1
2020-05-16,7,51,0,8,0,1
2020-05-17,5,56,0,8,0,1
2020-05-18,25,81,0,8,0,1
2020-05-19,2,83,0,8,0,1
2020-05-20,0,83,5,13,0,1
2020-05-21,10,93,0,13,0,1
2020-05-22,7,100,7,20,0,1
2020-05-23,12,112,0,20,0,1
2020-05-24,6,118,0,20,0,1
2020-05-25,1,119,5,25,0,1
2020-05-26,9,128,1,26,0,1
2020-05-27,7,135,17,43,0,1
2020-05-28,1,136,0,43,0,1
2020-05-29,1,137,3,46,0,1
2020-05-30,4,141,17,63,0,1
2020-05-31,3,144,7,70,0,1
2020-06-01,2,146,0,70,0,1
2020-06-02,8,154,0,70,0,1
2020-06-03,2,156,3,73,0,1
2020-06-04,5,161,1,74,0,1
2020-06-05,3,164,1,75,0,1
2020-06-06,3,167,0,75,1,2
2020-06-07,4,171,20,95,0,2
2020-06-08,6,177,0,95,0,2
2020-06-09,2,179,8,103,0,2
2020-06-10,3,182,2,105,0,2
2020-06-11,4,186,4,109,0,2
2020-06-12,1,187,3,112,0,2
2020-06-13,1,188,0,112,0,2
2020-06-14,3,191,1,113,0,2
2020-06-15,2,193,16,129,0,2
2020-06-16,4,197,3,132,0,2
2020-06-17,5,202,3,135,0,2
2020-06-18,3,205,0,135,0,2
2020-06-19,14,219,8,143,0,2
2020-06-20,4,223,7,150,0,2
2020-06-21,5,228,0,150,0,2
2020-06-23,12,240,1,151,2,4
2020-06-24,3,243,3,154,0,4
2020-06-25,1,244,19,173,0,4
2020-06-26,2,246,0,173,0,4
2020-06-27,0,246,8,181,0,4
2020-06-28,5,251,4,185,0,4
2020-06-29,2,253,0,185,0,4
2020-06-30,4,257,6,191,0,4
2020-07-02,7,264,11,202,1,5
2020-07-03,1,265,7,209,0,5
2020-07-04,1,266,0,209,0,5
2020-07-05,3,269,6,215,0,5
2020-07-06,2,271,0,215,0,5
2020-07-07,2,273,0,215,0,5
2020-07-08,11,284,8,223,0,5
2020-07-09,1,285,2,225,0,5
