dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-27,1,1,0,0,0,0
2020-05-28,1,2,0,0,0,0
2020-06-04,2,4,0,0,0,0
2020-06-07,1,5,0,0,0,0
2020-06-08,2,7,0,0,0,0
2020-06-09,1,8,0,0,0,0
2020-06-10,1,9,1,1,0,0
2020-06-11,0,9,2,3,0,0
2020-06-15,1,10,0,3,0,0
2020-06-19,0,10,5,8,0,0
2020-06-23,0,10,2,10,0,0
2020-06-24,2,12,0,10,0,0
2020-06-25,1,13,0,10,0,0
2020-06-26,1,14,0,10,0,0
2020-07-01,0,14,1,11,0,0
2020-07-02,1,15,0,11,0,0
2020-07-07,1,16,3,14,0,0
2020-07-10,2,18,0,14,0,0
