dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-27,1,1,0,0,0,0
2020-04-01,7,8,0,0,0,0
2020-04-04,2,10,0,0,0,0
2020-04-07,1,11,0,0,0,0
2020-04-12,3,14,0,0,0,0
2020-04-27,0,14,2,2,0,0
2020-04-29,0,14,1,3,0,0
2020-05-09,3,17,0,3,1,1
2020-05-11,1,18,0,3,0,1
2020-05-12,6,24,0,3,0,1
2020-05-13,3,27,0,3,0,1
2020-05-14,4,31,0,3,0,1
2020-05-15,2,33,0,3,0,1
2020-05-17,13,46,0,3,0,1
2020-05-19,3,49,0,3,0,1
2020-05-20,3,52,0,3,0,1
2020-05-21,8,60,0,3,0,1
2020-05-22,4,64,12,15,0,1
2020-05-23,4,68,0,15,0,1
2020-05-25,17,85,0,15,0,1
2020-05-26,0,85,24,39,0,1
2020-05-28,5,90,3,42,0,1
2020-05-29,6,96,0,42,0,1
2020-05-30,8,104,0,42,0,1
2020-05-31,2,106,7,49,0,1
2020-06-01,7,113,0,49,0,1
2020-06-02,2,115,2,51,0,1
2020-06-03,2,117,0,51,0,1
2020-06-04,25,142,0,51,0,1
2020-06-05,0,142,25,76,0,1
2020-06-06,10,152,0,76,0,1
2020-06-07,2,154,0,76,0,1
2020-06-09,7,161,14,90,0,1
2020-06-10,14,175,1,91,0,1
2020-06-11,5,180,24,115,0,1
2020-06-13,7,187,18,133,0,1
2020-06-14,2,189,7,140,0,1
2020-06-15,3,192,2,142,0,1
2020-06-16,0,192,11,153,0,1
2020-06-17,17,209,0,153,0,1
2020-06-18,4,213,0,153,1,2
2020-06-19,13,226,0,153,0,2
2020-06-20,18,244,7,160,0,2
2020-06-21,3,247,5,165,0,2
2020-06-22,26,273,0,165,0,2
2020-06-23,5,278,0,165,0,2
2020-06-24,3,281,12,177,0,2
2020-06-25,8,289,0,177,0,2
2020-06-26,2,291,5,182,0,2
2020-06-27,10,301,10,192,0,2
2020-06-28,2,303,6,198,0,2
2020-06-29,6,309,8,206,0,2
2020-06-30,11,320,23,229,0,2
2020-07-01,7,327,0,229,0,2
2020-07-02,1,328,5,234,0,2
2020-07-03,3,331,12,246,0,2
2020-07-04,0,331,15,261,0,2
2020-07-05,5,336,0,261,0,2
2020-07-06,0,336,50,311,0,2
2020-07-07,2,338,0,311,0,2
2020-07-08,3,341,4,315,0,2
2020-07-09,13,354,1,316,0,2
2020-07-10,15,369,0,316,0,2
