dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-27,2,2,0,0,0,0
2020-03-31,1,3,0,0,0,0
2020-04-06,2,5,0,0,0,0
2020-04-25,1,6,0,0,0,0
2020-05-03,1,7,0,0,0,0
2020-05-06,2,9,0,0,0,0
2020-05-10,1,10,0,0,0,0
2020-05-11,1,11,0,0,0,0
2020-05-13,2,13,0,0,0,0
2020-05-14,1,14,0,0,0,0
2020-05-15,1,15,0,0,0,0
2020-05-16,27,42,0,0,0,0
2020-05-17,18,60,0,0,0,0
2020-05-18,64,124,0,0,0,0
2020-05-19,87,211,3,3,0,0
2020-05-20,22,233,0,3,0,0
2020-05-21,42,275,0,3,0,0
2020-05-22,27,302,0,3,0,0
2020-05-23,12,314,0,3,0,0
2020-05-24,4,318,0,3,0,0
2020-05-25,1,319,0,3,0,0
2020-05-26,12,331,1,4,0,0
2020-05-27,1,332,0,4,0,0
2020-05-28,1,333,0,4,0,0
2020-05-29,6,339,4,8,0,0
2020-05-30,17,356,178,186,0,0
2020-05-31,9,365,52,238,0,0
2020-06-01,3,368,8,246,0,0
2020-06-02,0,368,7,253,0,0
2020-06-03,5,373,21,274,0,0
2020-06-04,0,373,18,292,0,0
2020-06-05,0,373,7,299,0,0
2020-06-06,1,374,0,299,0,0
2020-06-08,6,380,19,318,0,0
2020-06-09,1,381,16,334,0,0
2020-06-10,2,383,0,334,0,0
2020-06-11,0,383,18,352,0,0
2020-06-12,2,385,1,353,0,0
2020-06-13,3,388,0,353,0,0
2020-06-14,0,388,18,371,0,0
2020-06-15,0,388,1,372,0,0
2020-06-16,2,390,0,372,0,0
2020-06-17,1,391,3,375,0,0
2020-06-18,4,395,0,375,0,0
2020-06-19,1,396,2,377,0,0
2020-06-20,12,408,0,377,0,0
2020-06-21,6,414,0,377,0,0
2020-06-22,1,415,0,377,0,0
2020-06-24,2,417,10,387,0,0
2020-06-25,8,425,0,387,0,0
2020-06-26,3,428,0,387,0,0
2020-06-27,1,429,0,387,0,0
2020-06-28,2,431,0,387,0,0
2020-06-29,5,436,0,387,0,0
2020-06-30,6,442,19,406,0,0
2020-07-01,1,443,0,406,0,0
2020-07-02,5,448,0,406,0,0
2020-07-03,0,448,0,406,1,1
2020-07-04,13,461,7,413,0,1
2020-07-05,1,462,2,415,0,1
2020-07-06,7,469,0,415,0,1
2020-07-07,9,478,7,422,0,1
2020-07-08,1,479,4,426,0,1
2020-07-09,0,479,4,430,0,1
2020-07-10,2,481,13,443,0,1
