dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-08,2,2,0,0,0,0
2020-04-09,7,9,0,0,0,0
2020-04-10,3,12,0,0,0,0
2020-04-11,2,14,0,0,0,0
2020-04-13,1,15,0,0,0,0
2020-04-14,2,17,0,0,0,0
2020-04-17,1,18,0,0,0,0
2020-04-19,2,20,0,0,0,0
2020-04-24,4,24,4,4,0,0
2020-04-25,5,29,0,4,0,0
2020-04-26,1,30,0,4,0,0
2020-04-27,10,40,0,4,0,0
2020-04-28,0,40,4,8,0,0
2020-05-01,0,40,8,16,0,0
2020-05-04,1,41,0,16,0,0
2020-05-05,1,42,10,26,0,0
2020-05-06,3,45,1,27,0,0
2020-05-08,2,47,0,27,0,0
2020-05-09,0,47,2,29,0,0
2020-05-13,0,47,4,33,0,0
2020-05-14,0,47,2,35,0,0
2020-05-15,1,48,0,35,0,0
2020-05-17,1,49,0,35,0,0
2020-05-19,1,50,0,35,0,0
2020-05-20,1,51,0,35,0,0
2020-05-21,1,52,0,35,0,0
2020-05-23,7,59,0,35,0,0
2020-05-25,0,59,1,36,0,0
2020-05-26,12,71,0,36,0,0
2020-05-27,64,135,0,36,0,0
2020-05-28,69,204,1,37,0,0
2020-05-29,42,246,1,38,0,0
2020-05-30,3,249,1,39,0,0
2020-05-31,15,264,3,42,0,0
2020-06-01,5,269,1,43,0,0
2020-06-02,23,292,11,54,0,0
2020-06-03,10,302,66,120,0,0
2020-06-05,24,326,30,150,0,0
2020-06-07,1,327,75,225,0,0
2020-06-08,2,329,7,232,0,0
2020-06-09,2,331,1,233,0,0
2020-06-10,4,335,3,236,0,0
2020-06-11,2,337,0,236,0,0
2020-06-12,3,340,47,283,0,0
2020-06-13,2,342,2,285,0,0
2020-06-14,0,342,34,319,0,0
2020-06-16,3,345,4,323,0,0
2020-06-17,1,346,0,323,0,0
2020-06-18,5,351,2,325,0,0
2020-06-19,2,353,0,325,0,0
2020-06-20,12,365,1,326,0,0
2020-06-21,2,367,2,328,0,0
2020-06-22,0,367,5,333,0,0
2020-06-23,3,370,1,334,0,0
2020-06-24,4,374,5,339,0,0
2020-06-25,1,375,2,341,0,0
2020-06-26,0,375,2,343,0,0
2020-06-27,0,375,2,345,0,0
2020-06-28,0,375,4,349,0,0
2020-06-29,0,375,1,350,0,0
2020-07-02,0,375,6,356,0,0
2020-07-03,0,375,1,357,0,0
2020-07-05,3,378,3,360,0,0
2020-07-07,0,378,3,363,0,0
2020-07-08,1,379,0,363,0,0
2020-07-10,1,380,3,366,0,0
