dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-05,1,1,0,0,0,0
2020-04-12,5,6,0,0,0,0
2020-04-15,1,7,0,0,0,0
2020-04-16,1,8,0,0,0,0
2020-04-17,6,14,0,0,0,0
2020-04-18,17,31,0,0,0,0
2020-04-19,27,58,0,0,0,0
2020-04-20,3,61,0,0,1,1
2020-04-21,10,71,0,0,0,1
2020-04-22,4,75,0,0,0,1
2020-04-23,18,93,0,0,0,1
2020-04-26,20,113,0,0,0,1
2020-04-27,3,116,2,2,0,1
2020-04-28,1,117,0,2,0,1
2020-04-29,1,118,0,2,0,1
2020-04-30,0,118,4,6,0,1
2020-05-01,0,118,0,6,1,2
2020-05-02,0,118,15,21,0,2
2020-05-03,0,118,3,24,0,2
2020-05-04,1,119,0,24,0,2
2020-05-05,0,119,20,44,0,2
2020-05-06,0,119,7,51,0,2
2020-05-07,0,119,22,73,0,2
2020-05-08,0,119,22,95,0,2
2020-05-09,0,119,4,99,0,2
2020-05-10,3,122,3,102,0,2
2020-05-11,9,131,0,102,0,2
2020-05-12,6,137,0,102,1,3
2020-05-13,2,139,4,106,0,3
2020-05-14,17,156,2,108,0,3
2020-05-15,2,158,0,108,0,3
2020-05-16,3,161,0,108,0,3
2020-05-17,11,172,0,108,0,3
2020-05-18,2,174,1,109,1,4
2020-05-19,22,196,0,109,1,5
2020-05-20,17,213,10,119,0,5
2020-05-21,16,229,0,119,0,5
2020-05-22,27,256,6,125,0,5
2020-05-23,40,296,0,125,2,7
2020-05-24,47,343,3,128,0,7
2020-05-25,48,391,13,141,0,7
2020-05-26,13,404,0,141,0,7
2020-05-27,12,416,18,159,0,7
2020-05-28,9,425,2,161,1,8
2020-05-29,19,444,28,189,0,8
2020-05-30,2,446,6,195,0,8
2020-05-31,10,456,24,219,0,8
2020-06-01,0,456,35,254,0,8
2020-06-02,0,456,41,295,0,8
2020-06-03,19,475,0,295,0,8
2020-06-04,6,481,71,366,0,8
2020-06-05,9,490,18,384,0,8
2020-06-06,4,494,0,384,1,9
2020-06-07,9,503,11,395,0,9
2020-06-08,0,503,14,409,0,9
2020-06-09,9,512,18,427,0,9
2020-06-10,8,520,3,430,0,9
2020-06-11,5,525,2,432,0,9
2020-06-12,2,527,11,443,0,9
2020-06-13,11,538,0,443,0,9
2020-06-14,14,552,6,449,0,9
2020-06-15,2,554,4,453,0,9
2020-06-16,1,555,26,479,1,10
2020-06-17,16,571,0,479,0,10
2020-06-18,4,575,14,493,0,10
2020-06-19,16,591,0,493,0,10
2020-06-20,3,594,7,500,0,10
2020-06-21,3,597,0,500,2,12
2020-06-22,1,598,8,508,0,12
2020-06-23,3,601,13,521,0,12
2020-06-24,5,606,9,530,0,12
2020-06-25,3,609,5,535,0,12
2020-06-26,8,617,4,539,0,12
2020-06-27,1,618,0,539,0,12
2020-06-28,0,618,12,551,0,12
2020-06-29,12,630,14,565,0,12
2020-06-30,9,639,10,575,0,12
2020-07-01,2,641,6,581,0,12
2020-07-02,16,657,2,583,0,12
2020-07-03,13,670,0,583,0,12
2020-07-04,26,696,2,585,0,12
2020-07-05,30,726,7,592,0,12
2020-07-06,21,747,6,598,1,13
2020-07-07,45,792,0,598,1,14
2020-07-08,24,816,0,598,0,14
2020-07-09,55,871,0,598,1,15
2020-07-10,12,883,24,622,0,15
