dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-22,1,1,0,0,0,0
2020-04-05,1,2,0,0,0,0
2020-04-24,1,3,1,1,0,0
2020-04-25,1,4,0,1,0,0
2020-04-27,1,5,0,1,0,0
2020-04-29,9,14,0,1,0,0
2020-05-02,1,15,0,1,0,0
2020-05-04,15,30,0,1,0,0
2020-05-06,12,42,0,1,0,0
2020-05-07,10,52,0,1,0,0
2020-05-08,5,57,0,1,0,0
2020-05-09,5,62,0,1,0,0
2020-05-10,2,64,16,17,0,0
2020-05-11,5,69,0,17,2,2
2020-05-12,1,70,2,19,0,2
2020-05-13,27,97,1,20,1,3
2020-05-14,5,102,0,20,0,3
2020-05-15,13,115,0,20,0,3
2020-05-16,1,116,13,33,0,3
2020-05-17,14,130,0,33,0,3
2020-05-18,4,134,11,44,1,4
2020-05-19,77,211,0,44,0,4
2020-05-20,8,219,0,44,0,4
2020-05-21,10,229,0,44,0,4
2020-05-22,30,259,14,58,1,5
2020-05-23,23,282,0,58,0,5
2020-05-24,7,289,0,58,1,6
2020-05-25,50,339,21,79,0,6
2020-05-26,23,362,0,79,0,6
2020-05-27,21,383,17,96,0,6
2020-05-28,32,415,42,138,0,6
2020-05-29,1,416,31,169,0,6
2020-05-30,41,457,15,184,1,7
2020-05-31,10,467,10,194,0,7
2020-06-01,52,519,19,213,0,7
2020-06-02,13,532,29,242,0,7
2020-06-03,19,551,11,253,0,7
2020-06-04,5,556,79,332,0,7
2020-06-05,19,575,13,345,0,7
2020-06-06,14,589,35,380,0,7
2020-06-07,4,593,2,382,0,7
2020-06-08,11,604,48,430,0,7
2020-06-09,39,643,20,450,0,7
2020-06-10,44,687,7,457,0,7
2020-06-11,2,689,77,534,0,7
2020-06-12,0,689,24,558,0,7
2020-06-13,62,751,18,576,0,7
2020-06-14,14,765,7,583,1,8
2020-06-15,46,811,18,601,0,8
2020-06-16,10,821,19,620,0,8
2020-06-17,34,855,16,636,0,8
2020-06-18,33,888,27,663,0,8
2020-06-19,24,912,39,702,0,8
2020-06-20,5,917,11,713,0,8
2020-06-21,30,947,21,734,0,8
2020-06-22,32,979,28,762,0,8
2020-06-23,15,994,37,799,0,8
2020-06-24,2,996,22,821,0,8
2020-06-25,30,1026,24,845,0,8
2020-06-26,41,1067,8,853,0,8
2020-06-27,9,1076,32,885,1,9
2020-06-28,7,1083,20,905,0,9
2020-06-29,8,1091,38,943,0,9
2020-06-30,4,1095,10,953,0,9
2020-07-01,27,1122,33,986,0,9
2020-07-02,26,1148,12,998,0,9
2020-07-03,0,1148,28,1026,0,9
2020-07-04,22,1170,10,1036,0,9
2020-07-05,46,1216,0,1036,0,9
2020-07-06,80,1296,3,1039,0,9
2020-07-07,9,1305,23,1062,3,12
2020-07-08,32,1337,27,1089,0,12
2020-07-09,7,1344,18,1107,3,15
2020-07-10,71,1415,29,1136,0,15
