dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-07,1,1,0,0,0,0
2020-05-08,1,2,0,0,0,0
2020-05-09,1,3,0,0,0,0
2020-05-10,1,4,0,0,0,0
2020-05-11,7,11,0,0,0,0
2020-05-13,3,14,0,0,0,0
2020-05-14,8,22,0,0,0,0
2020-05-16,10,32,0,0,0,0
2020-05-17,10,42,0,0,0,0
2020-05-18,6,48,0,0,0,0
2020-05-19,17,65,0,0,0,0
2020-05-20,5,70,5,5,0,0
2020-05-21,8,78,0,5,0,0
2020-05-22,18,96,1,6,0,0
2020-05-23,4,100,0,6,0,0
2020-05-24,3,103,0,6,0,0
2020-05-25,9,112,0,6,0,0
2020-05-26,27,139,0,6,0,0
2020-05-27,2,141,0,6,0,0
2020-05-28,1,142,12,18,0,0
2020-05-29,5,147,0,18,0,0
2020-05-30,10,157,0,18,3,3
2020-05-31,2,159,25,43,0,3
2020-06-01,5,164,0,43,0,3
2020-06-02,12,176,16,59,0,3
2020-06-03,3,179,0,59,0,3
2020-06-04,2,181,0,59,0,3
2020-06-05,10,191,21,80,0,3
2020-06-06,4,195,0,80,0,3
2020-06-07,5,200,21,101,0,3
2020-06-08,10,210,8,109,0,3
2020-06-09,1,211,27,136,0,3
2020-06-10,8,219,0,136,0,3
2020-06-11,0,219,1,137,0,3
2020-06-12,47,266,5,142,1,4
2020-06-13,13,279,10,152,0,4
2020-06-14,19,298,1,153,0,4
2020-06-15,10,308,0,153,0,4
2020-06-16,4,312,6,159,1,5
2020-06-17,3,315,24,183,0,5
2020-06-18,11,326,0,183,0,5
2020-06-20,18,344,14,197,0,5
2020-06-21,14,358,14,211,0,5
2020-06-22,2,360,31,242,0,5
2020-06-23,24,384,18,260,0,5
2020-06-24,3,387,0,260,0,5
2020-06-25,8,395,24,284,0,5
2020-06-26,42,437,0,284,0,5
2020-06-27,8,445,4,288,0,5
2020-06-28,15,460,9,297,0,5
2020-06-29,17,477,7,304,0,5
2020-06-30,14,491,10,314,0,5
2020-07-01,16,507,0,314,0,5
2020-07-02,15,522,48,362,0,5
2020-07-03,24,546,0,362,2,7
2020-07-04,8,554,27,389,0,7
2020-07-05,27,581,26,415,0,7
2020-07-06,9,590,5,420,0,7
2020-07-07,30,620,22,442,0,7
2020-07-08,4,624,3,445,0,7
2020-07-09,7,631,28,473,0,7
2020-07-10,5,636,34,507,0,7
