dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-02,1,1,0,0,0,0
2020-04-03,3,4,0,0,0,0
2020-04-26,1,5,0,0,0,0
2020-04-27,1,6,0,0,0,0
2020-04-28,1,7,0,0,0,0
2020-04-29,1,8,0,0,0,0
2020-05-02,1,9,2,2,0,0
2020-05-03,5,14,0,2,0,0
2020-05-04,1,15,0,2,0,0
2020-05-06,0,15,1,3,0,0
2020-05-07,5,20,0,3,0,0
2020-05-08,59,79,0,3,0,0
2020-05-09,24,103,5,8,0,0
2020-05-10,30,133,0,8,0,0
2020-05-11,49,182,0,8,0,0
2020-05-12,42,224,0,8,0,0
2020-05-13,33,257,0,8,0,0
2020-05-14,59,316,0,8,0,0
2020-05-15,38,354,0,8,0,0
2020-05-16,9,363,0,8,0,0
2020-05-17,17,380,0,8,0,0
2020-05-18,21,401,0,8,1,1
2020-05-19,16,417,0,8,0,1
2020-05-20,3,420,0,8,0,1
2020-05-21,13,433,0,8,0,1
2020-05-22,12,445,58,66,0,1
2020-05-23,14,459,0,66,0,1
2020-05-24,21,480,0,66,0,1
2020-05-25,12,492,0,66,0,1
2020-05-26,25,517,50,116,0,1
2020-05-27,6,523,35,151,0,1
2020-05-28,0,523,7,158,0,1
2020-05-29,9,532,197,355,0,1
2020-05-30,9,541,0,355,0,1
2020-05-31,11,552,60,415,0,1
2020-06-01,10,562,5,420,0,1
2020-06-02,4,566,0,420,0,1
2020-06-03,2,568,9,429,0,1
2020-06-04,8,576,33,462,0,1
2020-06-05,1,577,41,503,0,1
2020-06-06,9,586,8,511,0,1
2020-06-07,1,587,0,511,0,1
2020-06-08,0,587,5,516,0,1
2020-06-10,3,590,15,531,0,1
2020-06-11,5,595,0,531,0,1
2020-06-12,2,597,24,555,0,1
2020-06-13,3,600,3,558,0,1
2020-06-14,3,603,3,561,0,1
2020-06-15,1,604,0,561,1,2
2020-06-16,20,624,0,561,0,2
2020-06-17,5,629,4,565,0,2
2020-06-18,4,633,1,566,0,2
2020-06-19,1,634,13,579,0,2
2020-06-20,7,641,1,580,0,2
2020-06-21,4,645,9,589,0,2
2020-06-22,13,658,0,589,1,3
2020-06-23,5,663,14,603,0,3
2020-06-24,7,670,8,611,0,3
2020-06-25,7,677,0,611,0,3
2020-06-27,4,681,6,617,0,3
2020-06-28,4,685,11,628,0,3
2020-06-29,12,697,9,637,0,3
2020-06-30,6,703,12,649,0,3
2020-07-01,10,713,5,654,0,3
2020-07-02,22,735,2,656,0,3
2020-07-03,17,752,2,658,0,3
2020-07-04,20,772,0,658,0,3
2020-07-05,10,782,6,664,1,4
2020-07-06,10,792,0,664,0,4
2020-07-07,3,795,9,673,0,4
2020-07-08,17,812,13,686,0,4
2020-07-09,15,827,9,695,1,5
2020-07-10,3,830,3,698,0,5
