dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-21,2,2,0,0,0,0
2020-03-25,1,3,0,0,0,0
2020-03-26,1,4,0,0,0,0
2020-03-27,2,6,0,0,0,0
2020-03-29,4,10,4,4,0,0
2020-03-30,10,20,0,4,0,0
2020-04-01,2,22,0,4,0,0
2020-04-02,6,28,0,4,0,0
2020-04-09,26,54,0,4,0,0
2020-04-10,2,56,0,4,0,0
2020-04-11,0,56,0,4,1,1
2020-04-12,4,60,0,4,0,1
2020-04-15,6,66,0,4,0,1
2020-04-29,0,66,5,9,0,1
2020-05-22,1,67,0,9,0,1
2020-05-24,0,67,0,9,0,1
2020-05-29,1,68,0,9,0,1
2020-05-31,0,68,1,10,0,1
2020-06-02,2,70,0,10,0,1
2020-06-04,-2,68,0,10,0,1
2020-06-06,1,69,0,10,0,1
2020-06-08,2,71,0,10,0,1
2020-06-09,-2,69,0,10,0,1
2020-06-10,1,70,0,10,0,1
2020-06-12,-2,68,0,10,0,1
2020-06-14,1,69,0,10,0,1
2020-06-17,0,69,1,11,0,1
2020-06-18,3,72,0,11,0,1
2020-06-19,3,75,1,12,0,1
2020-06-20,-1,74,0,12,0,1
2020-06-21,7,81,0,12,0,1
2020-06-22,-2,79,0,12,0,1
2020-06-23,4,83,0,12,0,1
2020-06-24,2,85,0,12,1,2
2020-06-25,7,92,0,12,0,2
2020-06-26,4,96,2,14,0,2
2020-06-27,12,108,0,14,1,3
2020-06-28,12,120,1,15,0,3
2020-06-29,12,132,2,17,1,4
2020-06-30,21,153,3,20,0,4
2020-07-01,19,172,0,20,0,4
2020-07-02,15,187,0,20,0,4
2020-07-03,15,202,0,20,1,5
2020-07-04,16,218,1,21,0,5
2020-07-05,26,244,0,21,0,5
2020-07-06,40,284,2,23,0,5
2020-07-07,-2,282,2,25,0,5
2020-07-08,10,292,0,25,0,5
2020-07-09,17,309,12,37,0,5
2020-07-10,14,323,3,40,1,6
