dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-30,1,1,0,0,0,0
2020-04-01,1,2,0,0,0,0
2020-04-02,15,17,0,0,0,0
2020-04-03,3,20,0,0,0,0
2020-04-04,2,22,0,0,0,0
2020-04-12,3,25,0,0,0,0
2020-04-13,15,40,0,0,0,0
2020-04-17,1,41,0,0,0,0
2020-05-01,1,42,1,1,0,0
2020-05-04,1,43,0,1,0,0
2020-05-06,1,44,0,1,0,0
2020-05-07,2,46,0,1,0,0
2020-05-10,1,47,0,1,0,0
2020-05-12,4,51,0,1,0,0
2020-05-13,2,53,0,1,0,0
2020-05-14,3,56,1,2,0,0
2020-05-15,0,56,1,3,0,0
2020-05-16,0,56,1,4,0,0
2020-05-17,16,72,0,4,0,0
2020-05-18,1,73,0,4,0,0
2020-05-19,6,79,0,4,0,0
2020-05-20,0,79,7,11,0,0
2020-05-21,1,80,3,14,0,0
2020-05-24,0,80,0,14,0,0
2020-05-25,0,80,11,25,0,0
2020-05-26,0,80,1,26,0,0
2020-05-28,0,80,6,32,0,0
2020-05-29,0,80,3,35,0,0
2020-06-03,1,81,2,37,0,0
2020-06-05,1,82,0,37,0,0
2020-06-06,4,86,0,37,0,0
2020-06-09,0,86,2,39,0,0
2020-06-12,1,87,0,39,0,0
2020-06-13,5,92,1,40,0,0
2020-06-14,1,93,0,40,0,0
2020-06-15,0,93,4,44,0,0
2020-06-16,1,94,0,44,0,0
2020-06-17,8,102,0,44,0,0
2020-06-18,3,105,0,44,0,0
2020-06-19,3,108,0,44,0,0
2020-06-20,1,109,0,44,0,0
2020-06-21,5,114,1,45,0,0
2020-06-22,4,118,0,45,0,0
2020-06-23,1,119,3,48,0,0
2020-06-24,9,128,1,49,0,0
2020-06-25,4,132,0,49,0,0
2020-06-26,2,134,8,57,0,0
2020-06-27,1,135,2,59,0,0
2020-06-29,1,136,3,62,0,0
2020-06-30,3,139,2,64,1,1
2020-07-01,5,144,8,72,1,2
2020-07-02,4,148,4,76,0,2
2020-07-03,4,152,7,83,0,2
2020-07-04,3,155,0,83,0,2
2020-07-05,10,165,2,85,1,3
2020-07-06,4,169,0,85,0,3
2020-07-07,4,173,0,85,0,3
2020-07-08,8,181,4,89,0,3
2020-07-09,3,184,2,91,0,3
2020-07-10,5,189,0,91,0,3
