dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,1,1,0,0,0,0
2020-04-18,3,4,0,0,0,0
2020-04-20,1,5,0,0,0,0
2020-04-25,2,7,0,0,0,0
2020-04-30,2,9,0,0,0,0
2020-05-02,2,11,2,2,0,0
2020-05-04,25,36,0,2,0,0
2020-05-05,1,37,1,3,0,0
2020-05-06,3,40,0,3,0,0
2020-05-07,33,73,0,3,0,0
2020-05-08,0,73,1,4,0,0
2020-05-09,31,104,0,4,0,0
2020-05-10,9,113,0,4,0,0
2020-05-11,1,114,2,6,0,0
2020-05-12,27,141,1,7,0,0
2020-05-13,1,142,0,7,0,0
2020-05-14,-5,137,5,12,0,0
2020-05-15,2,139,17,29,0,0
2020-05-17,0,139,3,32,0,0
2020-05-19,0,139,58,90,0,0
2020-05-21,0,139,22,112,0,0
2020-05-22,0,139,20,132,0,0
2020-05-23,0,139,1,133,0,0
2020-05-24,0,139,1,134,0,0
2020-05-28,0,139,4,138,0,0
2020-05-30,1,140,0,138,0,0
2020-05-31,1,141,0,138,0,0
2020-06-01,1,142,0,138,0,0
2020-06-02,1,143,0,138,0,0
2020-06-04,-1,142,0,138,0,0
2020-06-05,1,143,0,138,0,0
2020-06-07,0,143,1,139,0,0
2020-06-08,0,143,1,140,0,0
2020-06-09,1,144,0,140,0,0
2020-06-11,1,145,0,140,0,0
2020-06-12,-2,143,0,140,0,0
2020-06-13,2,145,0,140,0,0
2020-06-14,1,146,0,140,0,0
2020-06-16,2,148,0,140,0,0
2020-06-17,0,148,1,141,0,0
2020-06-18,-2,146,2,143,0,0
2020-06-19,1,147,0,143,0,0
2020-06-20,3,150,0,143,0,0
2020-06-22,1,151,0,143,0,0
2020-06-23,12,163,2,145,0,0
2020-06-24,5,168,0,145,0,0
2020-06-25,-1,167,0,145,0,0
2020-06-26,-2,165,1,146,0,0
2020-06-27,-4,161,-1,145,0,0
2020-06-28,1,162,0,145,0,0
2020-06-29,-4,158,0,145,0,0
2020-06-30,0,158,6,151,0,0
2020-07-02,6,164,4,155,0,0
2020-07-04,3,167,0,155,0,0
2020-07-05,1,168,0,155,0,0
2020-07-06,2,170,0,155,0,0
2020-07-08,3,173,2,157,0,0
2020-07-09,-2,171,1,158,1,1
2020-07-10,1,172,2,160,0,1
