dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-20,1,1,0,0,0,0
2020-05-06,2,3,0,0,0,0
2020-05-07,2,5,1,1,0,0
2020-05-10,1,6,0,1,0,0
2020-05-15,1,7,1,2,0,0
2020-05-20,6,13,4,6,0,0
2020-05-21,3,16,1,7,0,0
2020-05-22,3,19,0,7,0,0
2020-05-23,1,20,0,7,0,0
2020-05-24,1,21,0,7,0,0
2020-05-27,0,21,0,7,0,0
2020-05-28,1,22,0,7,0,0
2020-05-29,0,22,1,8,0,0
2020-05-30,0,22,5,13,0,0
2020-05-31,4,26,3,16,0,0
2020-06-01,1,27,2,18,1,1
2020-06-02,1,28,0,18,0,1
2020-06-04,1,29,0,18,0,1
2020-06-05,5,34,0,18,0,1
2020-06-06,-3,31,2,20,0,1
2020-06-07,2,33,0,20,0,1
2020-06-08,3,36,3,23,0,1
2020-06-09,4,40,1,24,0,1
2020-06-10,5,45,1,25,0,1
2020-06-11,0,45,1,26,0,1
2020-06-12,6,51,0,26,0,1
2020-06-13,0,51,2,28,0,1
2020-06-15,11,62,1,29,0,1
2020-06-17,9,71,3,32,0,1
2020-06-18,-13,58,-1,31,0,1
2020-06-19,4,62,0,31,0,1
2020-06-20,7,69,0,31,0,1
2020-06-21,1,70,1,32,0,1
2020-06-22,16,86,4,36,0,1
2020-06-23,2,88,0,36,1,2
2020-06-24,13,101,2,38,0,2
2020-06-25,1,102,0,38,0,2
2020-06-26,10,112,2,40,0,2
2020-06-27,19,131,2,42,0,2
2020-06-28,36,167,6,48,0,2
2020-06-29,27,194,10,58,1,3
2020-06-30,-20,174,-3,55,0,3
2020-07-01,30,204,13,68,1,4
2020-07-02,30,234,5,73,0,4
2020-07-03,18,252,6,79,0,4
2020-07-04,42,294,0,79,1,5
2020-07-05,56,350,29,108,1,6
2020-07-06,25,375,23,131,0,6
2020-07-07,43,418,34,165,0,6
2020-07-08,31,449,21,186,1,7
2020-07-09,46,495,20,206,1,8
2020-07-10,39,534,40,246,0,8
