dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-17,2,2,0,0,0,0
2020-05-20,1,3,0,0,0,0
2020-05-21,2,5,0,0,0,0
2020-05-24,1,6,0,0,0,0
2020-05-25,16,22,0,0,0,0
2020-05-26,1,23,0,0,0,0
2020-05-27,44,67,1,1,0,0
2020-05-28,16,83,1,2,0,0
2020-05-29,72,155,4,6,0,0
2020-05-30,0,155,2,8,0,0
2020-05-31,26,181,0,8,0,0
2020-06-01,21,202,0,8,0,0
2020-06-02,3,205,13,21,0,0
2020-06-03,0,205,1,22,0,0
2020-06-04,40,245,5,27,0,0
2020-06-05,12,257,26,53,0,0
2020-06-06,3,260,3,56,0,0
2020-06-07,0,260,3,59,0,0
2020-06-08,6,266,2,61,0,0
2020-06-09,28,294,40,101,0,0
2020-06-10,0,294,16,117,0,0
2020-06-11,0,294,9,126,0,0
2020-06-12,15,309,12,138,0,0
2020-06-13,0,309,5,143,0,0
2020-06-15,8,317,5,148,0,0
2020-06-16,10,327,2,150,0,0
2020-06-17,11,338,0,150,0,0
2020-06-18,12,350,7,157,0,0
2020-06-19,31,381,32,189,0,0
2020-06-20,19,400,2,191,0,0
2020-06-21,1,401,0,191,0,0
2020-06-23,0,401,1,192,0,0
2020-06-24,1,402,5,197,0,0
2020-06-25,0,402,4,201,0,0
2020-06-26,0,402,8,209,0,0
2020-06-27,1,403,10,219,0,0
2020-06-28,0,403,1,220,0,0
2020-06-29,3,406,4,224,0,0
2020-06-30,0,406,6,230,0,0
2020-07-01,4,410,1,231,0,0
2020-07-02,2,412,3,234,0,0
2020-07-03,1,413,0,234,0,0
2020-07-04,2,415,90,324,0,0
2020-07-05,1,416,0,324,0,0
2020-07-06,5,421,0,324,0,0
2020-07-09,1,422,0,324,0,0
2020-07-10,0,422,1,325,0,0
