dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-02,2,2,0,0,0,0
2020-04-13,3,5,0,0,0,0
2020-04-14,2,7,0,0,0,0
2020-04-16,3,10,0,0,0,0
2020-04-20,1,11,0,0,0,0
2020-04-23,1,12,0,0,0,0
2020-04-24,2,14,0,0,0,0
2020-04-26,1,15,0,0,0,0
2020-04-29,0,15,3,3,0,0
2020-04-30,3,18,0,3,0,0
2020-05-02,2,20,1,4,0,0
2020-05-04,1,21,0,4,0,0
2020-05-06,0,21,1,5,0,0
2020-05-07,2,23,2,7,0,0
2020-05-08,1,24,0,7,0,0
2020-05-09,2,26,2,9,1,1
2020-05-10,1,27,0,9,0,1
2020-05-11,4,31,0,9,0,1
2020-05-12,0,31,-1,8,0,1
2020-05-14,0,31,6,14,0,1
2020-05-18,6,37,0,14,0,1
2020-05-19,2,39,0,14,0,1
2020-05-22,13,52,5,19,0,1
2020-05-23,3,55,3,22,0,1
2020-05-24,3,58,0,22,0,1
2020-05-25,5,63,0,22,0,1
2020-05-26,1,64,1,23,0,1
2020-05-27,1,65,0,23,0,1
2020-05-28,0,65,6,29,0,1
2020-05-29,0,65,1,30,0,1
2020-05-30,13,78,0,30,0,1
2020-05-31,6,84,1,31,0,1
2020-06-01,2,86,14,45,0,1
2020-06-02,1,87,0,45,0,1
2020-06-03,5,92,2,47,0,1
2020-06-04,1,93,4,51,0,1
2020-06-05,4,97,0,51,0,1
2020-06-06,0,97,0,51,0,1
2020-06-07,9,106,0,51,0,1
2020-06-08,6,112,14,65,0,1
2020-06-09,6,118,1,66,0,1
2020-06-10,8,126,0,66,0,1
2020-06-11,7,133,0,66,0,1
2020-06-12,2,135,0,66,0,1
2020-06-13,0,135,2,68,0,1
2020-06-14,23,158,1,69,0,1
2020-06-15,0,158,3,72,0,1
2020-06-16,-2,156,7,79,0,1
2020-06-17,38,194,7,86,0,1
2020-06-18,28,222,2,88,0,1
2020-06-19,23,245,6,94,1,2
2020-06-20,24,269,3,97,0,2
2020-06-21,30,299,8,105,0,2
2020-06-22,18,317,19,124,0,2
2020-06-23,22,339,3,127,1,3
2020-06-24,-1,338,10,137,1,4
2020-06-25,136,474,12,149,0,4
2020-06-26,72,546,6,155,0,4
2020-06-27,102,648,14,169,0,4
2020-06-28,94,742,23,192,2,6
2020-06-29,61,803,11,203,2,8
2020-06-30,36,839,25,228,2,10
2020-07-01,113,952,8,236,2,12
2020-07-02,117,1069,22,258,2,14
2020-07-03,74,1143,53,311,3,17
2020-07-04,149,1292,41,352,2,19
2020-07-05,93,1385,65,417,1,20
2020-07-06,69,1454,28,445,1,21
2020-07-07,25,1479,52,497,1,22
2020-07-08,65,1544,42,539,1,23
2020-07-09,62,1606,78,617,5,28
2020-07-10,85,1691,50,667,4,32
