dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-25,1,1,0,0,0,0
2020-04-02,4,5,0,0,0,0
2020-04-04,18,23,0,0,0,0
2020-04-05,2,25,0,0,0,0
2020-04-07,2,27,0,0,0,0
2020-04-10,9,36,0,0,0,0
2020-04-12,2,38,0,0,0,0
2020-04-29,0,38,1,1,0,0
2020-04-30,1,39,0,1,0,0
2020-05-02,0,39,1,2,0,0
2020-05-04,3,42,0,2,0,0
2020-05-06,0,42,3,5,0,0
2020-05-07,7,49,0,5,0,0
2020-05-09,10,59,1,6,0,0
2020-05-10,6,65,0,6,0,0
2020-05-11,1,66,0,6,0,0
2020-05-12,9,75,1,7,0,0
2020-05-13,0,75,2,9,0,0
2020-05-14,1,76,0,9,0,0
2020-05-15,2,78,1,10,0,0
2020-05-16,3,81,0,10,0,0
2020-05-17,0,81,4,14,0,0
2020-05-18,2,83,0,14,0,0
2020-05-19,1,84,0,14,0,0
2020-05-20,0,84,12,26,0,0
2020-05-21,4,88,2,28,0,0
2020-05-22,1,89,0,28,0,0
2020-05-23,1,90,1,29,0,0
2020-05-24,2,92,6,35,0,0
2020-05-25,4,96,0,35,0,0
2020-05-26,1,97,9,44,0,0
2020-05-27,-1,96,0,44,0,0
2020-05-28,1,97,4,48,0,0
2020-05-29,0,97,3,51,0,0
2020-05-30,0,97,1,52,0,0
2020-05-31,1,98,0,52,0,0
2020-06-01,5,103,1,53,0,0
2020-06-03,5,108,0,53,0,0
2020-06-04,0,108,7,60,0,0
2020-06-05,14,122,0,60,0,0
2020-06-06,-2,120,2,62,0,0
2020-06-07,10,130,0,62,0,0
2020-06-08,8,138,0,62,1,1
2020-06-09,1,139,0,62,0,1
2020-06-10,25,164,1,63,0,1
2020-06-11,21,185,4,67,0,1
2020-06-12,4,189,7,74,0,1
2020-06-13,2,191,0,74,0,1
2020-06-14,6,197,1,75,0,1
2020-06-15,37,234,6,81,0,1
2020-06-16,77,311,0,81,1,2
2020-06-17,70,381,3,84,0,2
2020-06-18,23,404,5,89,0,2
2020-06-19,5,409,1,90,0,2
2020-06-20,59,468,37,127,0,2
2020-06-21,2,470,1,128,0,2
2020-06-22,55,525,131,259,0,2
2020-06-23,26,551,6,265,0,2
2020-06-24,-6,545,4,269,0,2
2020-06-25,22,567,1,270,0,2
2020-06-26,53,620,16,286,0,2
2020-06-27,99,719,45,331,0,2
2020-06-28,11,730,0,331,1,3
2020-06-29,0,730,1,332,0,3
2020-06-30,24,754,87,419,0,3
2020-07-01,8,762,11,430,0,3
2020-07-02,129,891,0,430,0,3
2020-07-03,87,978,73,503,0,3
2020-07-04,105,1083,2,505,1,4
2020-07-05,65,1148,0,505,1,5
2020-07-06,45,1193,1,506,0,5
2020-07-07,119,1312,66,572,0,5
2020-07-08,13,1325,57,629,5,10
2020-07-09,79,1404,0,629,0,10
2020-07-10,11,1415,20,649,0,10
