dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-25,5,5,0,0,0,0
2020-03-27,1,6,0,0,0,0
2020-04-03,2,8,0,0,0,0
2020-04-04,1,9,0,0,0,0
2020-04-05,3,12,0,0,0,0
2020-04-08,1,13,0,0,0,0
2020-04-09,1,14,0,0,0,0
2020-04-12,4,18,0,0,0,0
2020-04-14,1,19,0,0,0,0
2020-04-15,3,22,0,0,0,0
2020-04-16,2,24,0,0,0,0
2020-04-23,5,29,0,0,0,0
2020-04-24,1,30,0,0,0,0
2020-04-26,1,31,0,0,0,0
2020-04-28,0,31,10,10,0,0
2020-04-29,0,31,4,14,0,0
2020-04-30,1,32,3,17,0,0
2020-05-01,0,32,1,18,0,0
2020-05-02,1,33,0,18,0,0
2020-05-05,1,34,0,18,0,0
2020-05-06,1,35,0,18,0,0
2020-05-08,0,35,4,22,0,0
2020-05-10,0,35,1,23,0,0
2020-05-12,0,35,1,24,0,0
2020-05-15,0,35,5,29,0,0
2020-05-17,9,44,0,29,0,0
2020-05-18,5,49,0,29,0,0
2020-05-23,3,52,0,29,0,0
2020-05-24,0,52,0,29,0,0
2020-05-25,6,58,0,29,0,0
2020-05-26,10,68,0,29,0,0
2020-05-28,39,107,5,34,0,0
2020-05-29,0,107,5,39,0,0
2020-05-30,39,146,0,39,0,0
2020-05-31,49,195,8,47,0,0
2020-06-01,16,211,0,47,0,0
2020-06-02,9,220,1,48,0,0
2020-06-03,3,223,0,48,0,0
2020-06-04,-14,209,10,58,0,0
2020-06-05,7,216,4,62,0,0
2020-06-06,-3,213,24,86,0,0
2020-06-07,3,216,55,141,0,0
2020-06-08,5,221,3,144,0,0
2020-06-09,-10,211,23,167,0,0
2020-06-10,2,213,0,167,0,0
2020-06-11,9,222,9,176,0,0
2020-06-12,-5,217,4,180,0,0
2020-06-13,5,222,1,181,0,0
2020-06-14,7,229,2,183,0,0
2020-06-15,-3,226,0,183,0,0
2020-06-16,5,231,1,184,0,0
2020-06-17,25,256,3,187,0,0
2020-06-18,15,271,2,189,0,0
2020-06-19,9,280,5,194,0,0
2020-06-20,43,323,1,195,0,0
2020-06-21,12,335,3,198,0,0
2020-06-22,17,352,0,198,0,0
2020-06-23,-5,347,6,204,1,1
2020-06-24,57,404,5,209,1,2
2020-06-25,90,494,6,215,0,2
2020-06-26,105,599,8,223,0,2
2020-06-27,5,604,9,232,0,2
2020-06-28,106,710,24,256,0,2
2020-06-29,43,753,6,262,0,2
2020-06-30,27,780,16,278,1,3
2020-07-01,166,946,4,282,0,3
2020-07-02,88,1034,0,282,0,3
2020-07-03,93,1127,23,305,1,4
2020-07-04,70,1197,26,331,1,5
2020-07-05,50,1247,63,394,0,5
2020-07-06,41,1288,13,407,0,5
2020-07-07,52,1340,53,460,0,5
2020-07-08,69,1409,110,570,1,6
2020-07-09,93,1502,37,607,1,7
2020-07-10,128,1630,54,661,0,7
